,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,12,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'Hbond_A', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.03982,0.002930460714631745,0.8517611462219596,0.019675058098622838,0.9284189392539618,0.013206586498563962,0.0
1,11,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.03982,0.002930460714631745,0.8517611462219596,0.019675058098622838,0.9284189392539618,0.013206586498563962,0.02
2,10,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.03982,0.002930460714631745,0.8517611462219596,0.019675058098622838,0.9284189392539618,0.013206586498563962,0.04
3,9,"['P_charged_centers', 'N_charged_centers', 'cTPSA', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.0397,0.002994995826374387,0.8505474156950973,0.020179032761727726,0.9282719024458376,0.013242595694600493,0.06
4,8,"['P_charged_centers', 'N_charged_centers', 'cTPSA', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.039760000000000004,0.0030302475146429873,0.8504115244828658,0.02023709521175963,0.9282288178959673,0.013172067273052602,0.08
5,7,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.0408,0.0029325756597230355,0.847083226991649,0.019787136866841137,0.9262125112893247,0.013000106488805025,0.1
6,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.09145999999999999,0.006818240242173929,0.6755645122782657,0.03790665542443242,0.6023321013422298,0.04259215973508693,0.12
7,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.09344,0.0063282224992489014,0.6072741103937427,0.03973663600240416,0.5693360530498288,0.046259215403263235,0.14
8,2,"['P_charged_centers', 'NP_ratio']",0.10672000000000002,0.00686451746301224,0.46560851332635184,0.04537281880251226,0.4168019068771956,0.03200990407996069,0.16
9,1,['P_charged_centers'],0.10845999999999999,0.006585468851949723,0.485101430991721,0.03196816640438311,0.4003031108914598,0.02686504779566645,0.18
