,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,12,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'Hbond_A', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.04382,0.0037772476752259716,0.8488538866867082,0.02172048432269549,0.9132444292845947,0.018474543499279662,0.0
1,11,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.04382,0.0037772476752259716,0.8487552353375551,0.021680100955033914,0.9132435466568603,0.018479982133228868,0.02
2,10,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.04382,0.0038088843510928503,0.8488453948836137,0.02160824692839038,0.9132443305100517,0.0184694772122615,0.04
3,9,"['P_charged_centers', 'N_charged_centers', 'cTPSA', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.04384,0.0038018942647054252,0.8487916234584554,0.02167089781260172,0.9132469086472029,0.018465961503543897,0.06
4,8,"['P_charged_centers', 'N_charged_centers', 'cTPSA', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.04384,0.0038018942647054252,0.8487989419096165,0.021584889834977847,0.9132313710371005,0.01848184009399592,0.08
5,7,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.044,0.003820994634908561,0.8482275603451739,0.021502445338091286,0.9126097084737842,0.018601690585279,0.1
6,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.07050000000000001,0.00562583327161408,0.7786308487121026,0.026012195884089075,0.7591741047411155,0.03020861136064708,0.12
7,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.09345999999999999,0.006344162671306595,0.6072256167281407,0.03974758987588631,0.5693298623747242,0.04634086477738841,0.14
8,2,"['P_charged_centers', 'NP_ratio']",0.10680000000000002,0.0068498175158174844,0.4664996812924387,0.04423224458486148,0.4168940665585801,0.03197081231224378,0.16
9,1,['P_charged_centers'],0.10859999999999999,0.006584831053261731,0.485101430991721,0.03196816640438311,0.40030311089145976,0.0268650477956664,0.18
