,0,Model,Cell_Type,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,7,,,,,,,,,,,
1,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",,,,,,,,,,,
2,0.03996,,,,,,,,,,,
3,0.034986808865169916,,,,,,,,,,,
4,0.6363368842119893,,,,,,,,,,,
5,0.034986808865169916,,,,,,,,,,,
6,0.9072666922477416,,,,,,,,,,,
7,0.02255653740670725,,,,,,,,,,,
8,2.25,,,,,,,,,,,
9,8,,,,,,,,,,,
10,"['P_charged_centers', 'N_charged_centers', 'cTPSA', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",,,,,,,,,,,
11,0.039760000000000004,,,,,,,,,,,
12,0.02023709521175963,,,,,,,,,,,
13,0.8504115244828658,,,,,,,,,,,
14,0.02023709521175963,,,,,,,,,,,
15,0.9282288178959673,,,,,,,,,,,
16,0.013172067273052602,,,,,,,,,,,
17,1.5833333333333333,,,,,,,,,,,
18,7,,,,,,,,,,,
19,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",,,,,,,,,,,
20,0.09032,,,,,,,,,,,
21,0.028282329364614094,,,,,,,,,,,
22,0.8304470993303285,,,,,,,,,,,
23,0.028282329364614094,,,,,,,,,,,
24,0.842704059738832,,,,,,,,,,,
25,0.033404112817579525,,,,,,,,,,,
26,1.1818181818181819,,,,,,,,,,,
27,7,,,,,,,,,,,
28,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",,,,,,,,,,,
29,0.05794,,,,,,,,,,,
30,0.021820530796093137,,,,,,,,,,,
31,0.8970194669920669,,,,,,,,,,,
32,0.021820530796093137,,,,,,,,,,,
33,0.9177989681239435,,,,,,,,,,,
34,0.022755415882124357,,,,,,,,,,,
35,1.1818181818181819,,,,,,,,,,,
36,8,,,,,,,,,,,
37,"['P_charged_centers', 'N_charged_centers', 'cTPSA', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",,,,,,,,,,,
38,0.08697999999999999,,,,,,,,,,,
39,0.023401023631360277,,,,,,,,,,,
40,0.8517902622935776,,,,,,,,,,,
41,0.023401023631360277,,,,,,,,,,,
42,0.8385580904172726,,,,,,,,,,,
43,0.025154511062259105,,,,,,,,,,,
44,1.5833333333333333,,,,,,,,,,,
45,8,,,,,,,,,,,
46,"['P_charged_centers', 'N_charged_centers', 'cTPSA', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",,,,,,,,,,,
47,0.033240000000000006,,,,,,,,,,,
48,0.044196116858984245,,,,,,,,,,,
49,0.6052472270662449,,,,,,,,,,,
50,0.044196116858984245,,,,,,,,,,,
51,0.8982780416041735,,,,,,,,,,,
52,0.025965096926431966,,,,,,,,,,,
53,1.5833333333333333,,,,,,,,,,,
