,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,12,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'Hbond_A', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.09014,0.0043681117201829905,0.8562863805982696,0.023357207166991228,0.8463560981700996,0.026271492904652853,0.0
1,11,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.08997999999999999,0.0044743267650005185,0.8567204386694854,0.023699346161973868,0.8464930939336311,0.026935148670764155,0.02
2,10,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.08945999999999998,0.00445515431831491,0.8582629412982549,0.02344754463036115,0.8479228538367883,0.026407700286283017,0.04
3,9,"['P_charged_centers', 'N_charged_centers', 'cTPSA', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.0898,0.004363484845854286,0.8579150537411208,0.022431500217896472,0.8473440850616683,0.026731970643929504,0.06
4,8,"['P_charged_centers', 'N_charged_centers', 'cTPSA', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.09118,0.004380365281571848,0.8572030650218342,0.021892577316414037,0.8465772648465593,0.025525260198387703,0.08
5,7,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.0941,0.00415812457725836,0.8530969966642306,0.022227126799519114,0.8407519773278525,0.02608446117285694,0.1
6,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.15384,0.005913915792433983,0.49707386256763925,0.04208196444242559,0.49036668820084023,0.04658891483387193,0.12
7,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.17842,0.006684579268734868,0.20872141016796167,0.053594731779515355,0.20918782145437848,0.054140054844545024,0.14
8,2,"['P_charged_centers', 'NP_ratio']",0.17732,0.006762957932739193,0.2192941057993486,0.051913222007260014,0.21548014169221585,0.05303887862962773,0.16
9,1,['P_charged_centers'],0.1822,0.006884765791223402,0.12051587720773355,0.059491877118397776,0.12272165263779514,0.061439605323397824,0.18
