,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,12,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'Hbond_A', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.03776,0.0033915188337970345,0.6036908493351467,0.042064267568042074,0.9031676500969001,0.019892330451187153,0.0
1,11,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.03776,0.0033915188337970345,0.6036908493351467,0.042064267568042074,0.9031676500969001,0.019892330451187153,0.02
2,10,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.03776,0.0033915188337970345,0.6036908493351467,0.042064267568042074,0.9031676500969001,0.019892330451187153,0.04
3,9,"['P_charged_centers', 'N_charged_centers', 'cTPSA', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.03742,0.0033231912373500256,0.6022607910259783,0.042211777649539164,0.9038241759219665,0.02023664647326356,0.06
4,8,"['P_charged_centers', 'N_charged_centers', 'cTPSA', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.037559999999999996,0.00335952377577537,0.6029074979614792,0.04313074777441962,0.9036124883097878,0.020316855971908836,0.08
5,7,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.03967999999999999,0.003289012009707474,0.6053023876487547,0.04239875995264747,0.8974953472987025,0.021082429733414274,0.1
6,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.07416,0.007308515581155998,0.4499219316326558,0.05946724478134992,0.5003756297275876,0.07140521818876923,0.12
7,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.08536000000000002,0.007019287713151527,0.36314240645751733,0.04702045522521478,0.33199381630997704,0.05426881419306578,0.14
8,2,"['P_charged_centers', 'NP_ratio']",0.09114000000000001,0.006905099564814401,0.25899887871841726,0.053723764980140094,0.25215438815921837,0.036201279427322146,0.16
9,1,['P_charged_centers'],0.09172000000000001,0.006942737212368046,0.26414092765969,0.039609661205843694,0.25401967974573786,0.026315655328569238,0.18
