,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,15,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'Hbond_A', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta', 'PDI']",0.09981999999999999,0.005847016333139493,0.8069638454227683,0.027943115922371958,0.7960743338937115,0.031584869856213976,0.0
1,14,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta', 'PDI']",0.09981999999999999,0.005847016333139493,0.8069638454227683,0.027943115922371958,0.7960743338937115,0.031584869856213976,0.02
2,12,"['P_charged_centers', 'N_charged_centers', 'cTPSA', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta', 'PDI']",0.10173999999999998,0.006055774104109234,0.8003835629940805,0.029955803328611134,0.7888782808297562,0.03288683343530367,0.04
3,11,"['P_charged_centers', 'N_charged_centers', 'cTPSA', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta', 'PDI']",0.10196,0.00641236305896664,0.7991932597902265,0.030374043786180905,0.7879426899424913,0.033532557303133134,0.06
4,10,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta', 'PDI']",0.10476,0.006316834650360891,0.7852794508796964,0.03191535849183561,0.7756650365672229,0.03509028083264452,0.08
5,9,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.10278000000000002,0.006549167886075299,0.793407042599709,0.031395193375011156,0.7835761276836127,0.033850938025769904,0.1
6,8,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",0.09752000000000001,0.005842054433159623,0.8177768520374014,0.028021547560417814,0.8047085574315608,0.030239746762950697,0.12
7,7,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.08616,0.005456592343212015,0.8549838837810316,0.025093679266861083,0.8457922288299703,0.026760869188633626,0.14
8,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.13306,0.006718362895825142,0.6187918051603069,0.047743751127328565,0.6237420108853822,0.046858698364582216,0.16
9,5,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.14076,0.00714299657006777,0.5587314036996862,0.05331309294910919,0.5722562318480501,0.0587765380181842,0.18
10,4,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage']",0.15856,0.00742471548276431,0.4528015611310938,0.05755912680210343,0.44025019069672233,0.058211499675918446,0.2
11,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.172,0.006499230723708763,0.27537047772460455,0.05479554289177917,0.2724000616396681,0.054689134887746835,0.22
12,2,"['P_charged_centers', 'NP_ratio']",0.17102,0.006700716379611954,0.2711106003941158,0.05276527841553113,0.27743633652858996,0.05490067228264738,0.24
13,1,['P_charged_centers'],0.17680000000000004,0.007241546796092666,0.19832656555746722,0.06453440836434335,0.18677757366699538,0.06519541415677108,0.26
