,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,13,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta', 'PDI']",0.07257999999999999,0.006663602629208916,0.8648992682092235,0.02998480261876298,0.8795670552356181,0.03460788996650871,0.0
1,12,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta', 'PDI']",0.07257999999999999,0.006663602629208916,0.8648970618137561,0.0299859612974543,0.8795647272067249,0.034607139574852994,0.02
2,11,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta', 'PDI']",0.07257999999999999,0.006663602629208916,0.8648970618137561,0.0299859612974543,0.8795647272067249,0.034607139574852994,0.04
3,10,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta', 'PDI']",0.07252,0.00647839486292708,0.865297396521362,0.028985399429828123,0.8819703500708121,0.03374285950916663,0.06
4,9,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta', 'PDI']",0.08289999999999999,0.007640026177965622,0.8363429613582244,0.03155073983862837,0.8265477915488058,0.0379189422594201,0.08
5,8,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.08194000000000001,0.00802598280586247,0.8335665088613043,0.031778844303306644,0.8307125098025198,0.03919952019045808,0.1
6,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.09208,0.007855800404796446,0.8059088575090564,0.03952773852259768,0.74852814841642,0.056150870751463564,0.12
7,5,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage']",0.16452000000000003,0.009291372342124708,0.3240458209392103,0.07714343747025043,0.4813419850674531,0.06684550795824146,0.14
8,4,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage']",0.17408,0.010025647111284137,0.17285991378861115,0.07166065899748247,0.1471532316477612,0.06548809045728478,0.16
9,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.17156,0.00938756624477292,0.15113880956215936,0.08256659538569522,0.19816342268315856,0.06342043471625664,0.18
10,2,"['P_charged_centers', 'NP_ratio']",0.17149999999999999,0.009152595260361945,0.14889202982042843,0.08490557315191058,0.21039356240199913,0.06537638812538472,0.2
11,1,['P_charged_centers'],0.17042000000000002,0.009082048227134668,0.23964708885035407,0.0690901321791083,0.2275232131038601,0.05210344622525667,0.22
