,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,13,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta', 'PDI']",0.07076,0.007519468066292987,0.8657609500574668,0.031707050012888795,0.8799019873717349,0.03419026372429848,0.0
1,12,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta', 'PDI']",0.07076,0.007519468066292987,0.8657609500574668,0.031707050012888795,0.8799019873717349,0.03419026372429848,0.02
2,11,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta', 'PDI']",0.07076,0.007519468066292987,0.8657609500574668,0.031707050012888795,0.8799019873717349,0.03419026372429848,0.04
3,10,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta', 'PDI']",0.07060000000000001,0.007318469785412796,0.8679364053594153,0.030510949934530636,0.8834114132515792,0.0323774830158274,0.06
4,9,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta', 'PDI']",0.08112000000000003,0.007765668033079962,0.8409464853260273,0.03345205305732716,0.8313318865689904,0.03786493795887621,0.08
5,8,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.07950000000000002,0.007200694410957878,0.837392891444296,0.03278090844013253,0.834662734817905,0.03849988394236478,0.1
6,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.08607999999999999,0.0079014935297069,0.8262790035400573,0.03681189122147269,0.7788530491978279,0.05085547757549744,0.12
7,5,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage']",0.15922,0.009321566391975119,0.36351900021748335,0.07444735408429191,0.5101390605260769,0.06523071673541712,0.14
8,4,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage']",0.17376000000000003,0.010007117467083116,0.1793452846058198,0.07071980028809602,0.1517524957893696,0.06521480404023154,0.16
9,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.17146,0.009355661387630483,0.15174994704915362,0.08338231692978867,0.1995586556392793,0.063433638489766,0.18
10,2,"['P_charged_centers', 'NP_ratio']",0.17144,0.009215552072447963,0.14894782474870227,0.08478638930960021,0.2109434070835902,0.06547590980848053,0.2
11,1,['P_charged_centers'],0.17042000000000002,0.009082048227134668,0.23964708885035407,0.0690901321791083,0.2275232131038602,0.05210344622525676,0.22
