,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,15,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'Hbond_A', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta', 'PDI']",0.05324000000000001,0.005278484631028113,0.6145071433703896,0.05196524601342251,0.8800586415266843,0.023054164928489596,0.0
1,14,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta', 'PDI']",0.05324000000000001,0.005278484631028113,0.6145071433703896,0.05196524601342251,0.8800586415266843,0.023054164928489596,0.02
2,12,"['P_charged_centers', 'N_charged_centers', 'cTPSA', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta', 'PDI']",0.05332,0.005073223827114274,0.6117891601977126,0.05481255494078605,0.8795501073194391,0.022645525777124094,0.04
3,11,"['P_charged_centers', 'N_charged_centers', 'cTPSA', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta', 'PDI']",0.053380000000000004,0.005141556184658494,0.6132134004766772,0.05597194938829723,0.8794017480765173,0.0230519585180156,0.06
4,10,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta', 'PDI']",0.05354000000000001,0.005123319236588718,0.6138666866688154,0.05523500520699239,0.878701077393346,0.02317789662935287,0.08
5,9,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.050519999999999995,0.004895875815418524,0.6259156691590466,0.05113229772578104,0.893120694223673,0.022735215933931855,0.1
6,8,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",0.04939999999999999,0.004673328578219169,0.6317947538434999,0.052383752523199156,0.8978591571489928,0.021840628653193903,0.12
7,7,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.045899999999999996,0.0042485291572496005,0.6469335811246734,0.0466906602402071,0.9125029648723004,0.019817561108847127,0.14
8,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.061959999999999994,0.005976487262598324,0.589216722935359,0.04612734299032785,0.8266673121219185,0.03332884120937817,0.16
9,5,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.10039999999999999,0.00812896057316063,0.5171103098196135,0.049228422451779844,0.5295118634237513,0.06141966004169801,0.18
10,4,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage']",0.10182000000000001,0.00772448056506067,0.514778694629525,0.0484632701211055,0.5449996872437971,0.056860956234198574,0.2
11,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.10634,0.007739793278893177,0.4968808124094293,0.04979292221110855,0.5243072697351695,0.04589357113601485,0.22
12,2,"['P_charged_centers', 'NP_ratio']",0.13908,0.007822633827554498,0.2527062942640201,0.055503067156326795,0.2458408360498118,0.031881813020985375,0.24
13,1,['P_charged_centers'],0.14038000000000003,0.007730174642270376,0.27721502597866055,0.035612536192328674,0.24357689223613968,0.024257747113160522,0.26
