,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,14,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'Hbond_A', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.05453999999999999,0.003683530914760999,0.8330511013515667,0.0220578897303332,0.8907761112692658,0.01837998692854204,0.0
1,13,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.05453999999999999,0.003683530914760999,0.8330511013515667,0.0220578897303332,0.8907761112692658,0.01837998692854204,0.01
2,12,"['P_charged_centers', 'N_charged_centers', 'cTPSA', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.054639999999999994,0.003756381237308055,0.8330856805450472,0.02212051375586707,0.89070021264836,0.01875264337843708,0.02
3,11,"['P_charged_centers', 'N_charged_centers', 'cTPSA', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.054639999999999994,0.003756381237308055,0.8330856805450472,0.02212051375586707,0.89070021264836,0.01875264337843708,0.03
4,10,"['P_charged_centers', 'N_charged_centers', 'cTPSA', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.05464,0.003819738210924932,0.832036464888826,0.02380766432030033,0.8906271358461272,0.018195355648943787,0.04
5,9,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.0553,0.003935733730830886,0.8301140139085779,0.02423531941393241,0.8888330150321113,0.018696323396089322,0.05
6,8,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",0.05289999999999999,0.0036945906403822336,0.8396202323972348,0.02118727633898152,0.8978146949533357,0.01753369973773873,0.06
7,7,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.04612,0.003030775478322338,0.8544527109706442,0.021935271190668994,0.9225202966492593,0.01322331611673368,0.07
8,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.09058,0.005980267552543114,0.7272404712168842,0.034386012412388374,0.6555877503712702,0.043191607561737545,0.08
9,5,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage']",0.10164000000000001,0.006292090272715418,0.6085279029231071,0.051911313332631916,0.5496633541683079,0.0503363701390539,0.09
10,4,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage']",0.10106,0.005562049981796278,0.6113082195643917,0.05130950964518031,0.540505658683811,0.04592501762968972,0.1
11,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.1023,0.00597076209541127,0.5957680514382468,0.05189978628534194,0.5433644590060123,0.0446717996291449,0.11
12,2,"['P_charged_centers', 'NP_ratio']",0.11732,0.005787711119259495,0.4109288369642111,0.055956192074114196,0.3696003355019047,0.04098563126295532,0.12
13,1,['P_charged_centers'],0.11928,0.0055858392386462395,0.4466552011412442,0.04677727659785902,0.35241752645883545,0.035256379216222475,0.13
