,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,14,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'Hbond_A', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.09900000000000002,0.006343500610861482,0.8095915465404978,0.02681687648680158,0.7987512455156763,0.03145647115297372,0.0
1,13,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.09900000000000002,0.006343500610861482,0.8095915465404978,0.02681687648680158,0.7987512455156763,0.03145647115297372,0.01
2,12,"['P_charged_centers', 'N_charged_centers', 'cTPSA', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.10064000000000001,0.006068805483783444,0.8058994718612645,0.027509797983330374,0.7940154728618954,0.031115152955490066,0.02
3,11,"['P_charged_centers', 'N_charged_centers', 'cTPSA', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.10064000000000001,0.006068805483783444,0.8058994718612645,0.027509797983330374,0.7940154728618954,0.031115152955490066,0.03
4,10,"['P_charged_centers', 'N_charged_centers', 'cTPSA', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.10114000000000001,0.005905963088269346,0.8048440101102594,0.02804293885391095,0.7929806906051966,0.030738269679735294,0.04
5,9,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.10270000000000001,0.0059539902586416785,0.7942479149985825,0.029176104545460865,0.785318632340108,0.03154131195835518,0.05
6,8,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",0.09741999999999999,0.00552843558341779,0.8187317200438292,0.02620606156706125,0.8067252733665833,0.028960432211536723,0.06
7,7,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.08753999999999999,0.006070288296283794,0.8490166011761605,0.02720618680454226,0.8393841879258274,0.029049532658774878,0.07
8,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.12858000000000003,0.0067766953598343204,0.6460013371071289,0.043260105957087715,0.650377016043315,0.04459355753442111,0.08
9,5,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage']",0.15725999999999998,0.007628394326462161,0.48404823148050097,0.051844806371081145,0.47193090474358645,0.05293448973484636,0.09
10,4,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage']",0.15839999999999999,0.007402702209328703,0.45495514506972107,0.0586431990044217,0.44225791987117513,0.05819855344860605,0.1
11,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.17200000000000004,0.006517668294720124,0.27579126531931963,0.05258261076164271,0.2717630037414086,0.053628253987440686,0.11
12,2,"['P_charged_centers', 'NP_ratio']",0.17100000000000004,0.006770524351924297,0.27105830252347585,0.052664984713106204,0.2773398872790622,0.054559114716706686,0.12
13,1,['P_charged_centers'],0.17682000000000003,0.007248972340959784,0.19832656555746722,0.06453440836434335,0.18677757366699538,0.0651954141567711,0.13
