,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,12,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.07102,0.006906489701722576,0.8666881833169926,0.02785852482988202,0.8841333850972891,0.033758622308614136,0.0
1,11,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.07102,0.006906489701722576,0.8666927037001894,0.02785971347960844,0.8841338897250057,0.03375902461286815,0.01
2,10,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.07102,0.006906489701722576,0.8666927037001894,0.02785971347960844,0.8841338897250057,0.03375902461286815,0.02
3,9,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.07082,0.0067459321075741645,0.8675297420405953,0.028406001102850163,0.8864940439285324,0.03273253814088975,0.03
4,8,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.08194000000000001,0.00802598280586247,0.8335665088613043,0.031778844303306644,0.8307125098025198,0.03919952019045808,0.04
5,7,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",0.08376000000000001,0.008712198344849594,0.8334579006828179,0.031581040512505335,0.8156864790138783,0.045251109765941384,0.05
6,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.09208,0.007855800404796446,0.8059088575090564,0.03952773852259768,0.74852814841642,0.056150870751463564,0.06
7,5,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage']",0.16452000000000003,0.009291372342124708,0.3240458209392103,0.07714343747025043,0.4813419850674531,0.06684550795824146,0.07
8,4,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage']",0.17408,0.010025647111284137,0.17285991378861115,0.07166065899748247,0.1471532316477612,0.06548809045728478,0.08
9,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.17156,0.00938756624477292,0.15113880956215936,0.08256659538569522,0.19816342268315856,0.06342043471625664,0.09
10,2,"['P_charged_centers', 'NP_ratio']",0.17149999999999999,0.009152595260361945,0.14889202982042843,0.08490557315191058,0.21039356240199913,0.06537638812538472,0.1
11,1,['P_charged_centers'],0.17042000000000002,0.009082048227134668,0.23964708885035407,0.0690901321791083,0.2275232131038601,0.05210344622525667,0.11
