,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,12,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.06962,0.00716349076917113,0.8678982828459736,0.029401816280413943,0.8835674652103499,0.03243767085530419,0.0
1,11,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.06962,0.00716349076917113,0.8678982828459736,0.029401816280413943,0.8835674652103499,0.03243767085530419,0.01
2,10,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.06962,0.00716349076917113,0.8678982828459736,0.029401816280413943,0.8835674652103499,0.03243767085530419,0.02
3,9,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.06926,0.007477459461608603,0.870706305252122,0.02960004858052617,0.8883085288108629,0.03323206438135317,0.03
4,8,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.07950000000000002,0.007200694410957878,0.837392891444296,0.03278090844013253,0.834662734817905,0.03849988394236478,0.04
5,7,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",0.08016000000000002,0.008058188382012423,0.8449172971073431,0.030148867149383012,0.8259797396737899,0.04579982705311689,0.05
6,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.08607999999999999,0.0079014935297069,0.8262790035400573,0.03681189122147269,0.7788530491978279,0.05085547757549744,0.06
7,5,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage']",0.15922,0.009321566391975119,0.36351900021748335,0.07444735408429191,0.5101390605260769,0.06523071673541712,0.07
8,4,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage']",0.17376000000000003,0.010007117467083116,0.1793452846058198,0.07071980028809602,0.1517524957893696,0.06521480404023154,0.08
9,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.17146,0.009355661387630483,0.15174994704915362,0.08338231692978867,0.1995586556392793,0.063433638489766,0.09
10,2,"['P_charged_centers', 'NP_ratio']",0.17144,0.009215552072447963,0.14894782474870227,0.08478638930960021,0.2109434070835902,0.06547590980848053,0.1
11,1,['P_charged_centers'],0.17042000000000002,0.009082048227134668,0.23964708885035407,0.0690901321791083,0.2275232131038602,0.05210344622525676,0.11
