,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,14,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'Hbond_A', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.0499,0.005675385449465085,0.6458698818342328,0.04973371419238201,0.8872479936343892,0.02355972616530021,0.0
1,13,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.04988000000000001,0.005669708987240879,0.64584460454575,0.04983143984319092,0.88725634695292,0.023686110561301925,0.01
2,12,"['P_charged_centers', 'N_charged_centers', 'cTPSA', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.04988000000000001,0.005648504226784291,0.6443660861505563,0.05027688883844201,0.8871797344881253,0.023533508526646433,0.02
3,11,"['P_charged_centers', 'N_charged_centers', 'cTPSA', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.04992,0.0056985612219226005,0.64419543055282,0.05040840461662803,0.8872770158741403,0.02358586733783194,0.03
4,10,"['P_charged_centers', 'N_charged_centers', 'cTPSA', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.0499,0.005629387178015027,0.6448702173594932,0.050449761238673216,0.8871247520358468,0.023426963572378518,0.04
5,9,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.049880000000000015,0.0056555813140648946,0.6436768896356401,0.05049481386662706,0.8869785948880663,0.023295058791656695,0.05
6,8,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",0.047439999999999996,0.00518906542645205,0.6400804622808249,0.048526470813569554,0.8927875201162258,0.02202601236658004,0.06
7,7,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.044660000000000005,0.004802540994098853,0.6567969260568591,0.04393046440350687,0.9070305727535941,0.02184705078656101,0.07
8,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.06844000000000001,0.006841520298880944,0.5861899279569553,0.04539674596111661,0.7760301812744507,0.042561400016720284,0.08
9,5,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage']",0.06872000000000002,0.005531871292790532,0.5447504857866596,0.05332107775198631,0.7746853102103078,0.04226507561408823,0.09
10,4,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage']",0.10228,0.007678645713926382,0.5156014131596415,0.049204318224180074,0.5419398589342491,0.05680779148557837,0.1
11,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.10672000000000001,0.007746069971282211,0.4971069076205864,0.05017274835570962,0.524170714455623,0.04602000340321928,0.11
12,2,"['P_charged_centers', 'NP_ratio']",0.14044,0.00774379751801401,0.2523571556426537,0.05508676203128778,0.24568803705175313,0.031897988661376386,0.12
13,1,['P_charged_centers'],0.14176,0.0076486861616881585,0.27721502597866055,0.035612536192328674,0.2435768922361397,0.024257747113160286,0.13
