,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,12,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'PDI']",0.10996,0.010378747515957791,0.793226469594276,0.033850424492929514,0.7855079646557185,0.04027458493064918,0.0
1,10,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'PDI']",0.11004000000000001,0.010409534091399096,0.7927035652274504,0.03371299235933584,0.7853799601381675,0.04015576869314566,0.01
2,9,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'PDI']",0.11094,0.010423838064743717,0.7906211984272428,0.03383728262607157,0.7808930464264108,0.04062306764206672,0.02
3,8,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'PDI']",0.12766,0.012171458417133093,0.7441779766011378,0.03906743266678857,0.7063776959258125,0.048356761589528355,0.03
4,7,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size']",0.12425999999999998,0.012072795865084442,0.7522702420926612,0.03556007907121185,0.7161091980776755,0.044571244375101494,0.04
5,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.12333999999999999,0.012872622110510353,0.7539152049503249,0.03413873323027124,0.7032128032833675,0.04385366862523948,0.05
6,5,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage']",0.20869999999999997,0.014472387501722028,0.27475080456811596,0.06401995154403438,0.2520418276646633,0.06059859913670092,0.06
7,4,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage']",0.20292,0.014338535490070109,0.31965655864627357,0.07326501655930294,0.3188782083919057,0.07301030570867237,0.07
8,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.21662000000000003,0.012701007834026404,0.19023865029001816,0.07723032196795024,0.22480950286106072,0.058465315993901014,0.08
9,2,"['P_charged_centers', 'NP_ratio']",0.2175,0.012595634164265014,0.15962438890949748,0.07976738428261901,0.22902718196439242,0.060271578179244285,0.09
10,1,['P_charged_centers'],0.21648000000000003,0.012228229634742719,0.24259418388561083,0.07273735761157168,0.24784770470103,0.0589253697948124,0.1
