,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,13,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'PDI']",0.053259999999999995,0.0036211048037857185,0.8222460707659052,0.02486319242525381,0.8809980309932635,0.025916922132882235,0.0
1,12,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'PDI']",0.053180000000000005,0.00369697173373019,0.8226032133014946,0.02421739011017165,0.8813638166719856,0.02611457778449271,0.01
2,11,"['P_charged_centers', 'N_charged_centers', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'PDI']",0.05335999999999999,0.003819738210924932,0.8220753687302469,0.023892171359420577,0.880979687540069,0.026128040176473202,0.02
3,10,"['P_charged_centers', 'N_charged_centers', 'Hbond_D', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'PDI']",0.05337999999999999,0.0038204188252075194,0.8218609517330724,0.02342958355257053,0.8807160458278048,0.02582518938769763,0.03
4,9,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'PDI']",0.054000000000000006,0.0036769552621700474,0.8175640466344889,0.02518788015961121,0.8774621202818067,0.02663032733373627,0.04
5,8,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size']",0.052559999999999996,0.00367782544447123,0.821256940005947,0.02479342464300001,0.8865072151808826,0.024104593819561967,0.05
6,7,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.04978,0.0032390739417308767,0.8313983201024538,0.02534792611005263,0.8991524593441516,0.022261136001812506,0.06
7,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.06704,0.004108332995267058,0.7903828344560313,0.02419292591146833,0.7866423003269294,0.03610453685924794,0.07
8,5,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.07717999999999998,0.005694523685085523,0.742085897303572,0.025819124983031287,0.6713532953663622,0.031441024217950767,0.08
9,4,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage']",0.09113999999999998,0.005973307291609901,0.6264422016004667,0.032668452312547946,0.560273196645641,0.030811659844669558,0.09
10,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.09319999999999999,0.00600999168052669,0.5971593543844517,0.03446021485473622,0.5610511776081563,0.03576641563731225,0.1
11,2,"['P_charged_centers', 'NP_ratio']",0.10617999999999998,0.006790257727067508,0.4667533569164767,0.03852897747384653,0.40839578335885457,0.033073179899235326,0.11
12,1,['P_charged_centers'],0.10809999999999999,0.00689129886160802,0.4700986523387931,0.04009060154309086,0.3902828053850446,0.0316899536122111,0.12
