,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,PDI
0,0,1,9.3028,3,10,36,1,4,200,20,500,440.1666667,0.292666667
1,0,1,9.3028,3,10,36,1,8,200,20,500,320.9666667,0.187666667
3,0,1,9.3028,3,10,36,1,4,200,40,500,236.0666667,0.359666667
4,0,1,9.3028,3,10,36,1,8,200,40,500,188.6,0.308666667
5,0,1,9.3028,3,10,36,1,12,200,40,500,248.3,0.374333333
6,0,1,9.3028,3,10,36,1,4,200,60,500,221.0666667,0.257
7,0,1,9.3028,3,10,36,1,8,200,60,500,206.6333333,0.367333333
8,0,1,9.3028,3,10,36,1,12,200,60,500,239.3,0.301
9,0,1,9.3028,3,10,36,1,4,200,80,500,228.7,0.5935
10,0,1,9.3028,3,10,36,1,8,200,80,500,195.4666667,0.445
11,0,1,9.3028,3,10,36,1,12,200,80,500,211.95,0.466166667
12,0,1,9.3028,3,10,36,1,4,100,20,500,395.5333333,0.062333333
13,0,1,9.3028,3,10,36,1,8,100,20,500,412.0666667,0.177666667
15,0,1,9.3028,3,10,36,1,4,100,40,500,218.7666667,0.298
16,0,1,9.3028,3,10,36,1,8,100,40,500,221.7666667,0.319666667
17,0,1,9.3028,3,10,36,1,12,100,40,500,491.3333333,0.671
18,0,1,9.3028,3,10,36,1,4,100,60,500,227.4,0.285666667
19,0,1,9.3028,3,10,36,1,8,100,60,500,217.1,0.286333333
20,0,1,9.3028,3,10,36,1,12,100,60,500,241.5666667,0.296333333
21,0,1,9.3028,3,10,36,1,4,100,80,500,188.8333333,0.565833333
22,0,1,9.3028,3,10,36,1,8,100,80,500,184.6,0.429666667
23,0,1,9.3028,3,10,36,1,12,100,80,500,285.2666667,0.270666667
24,0,1,9.3028,3,10,36,1,4,50,20,500,431.4,0.301666667
25,0,1,9.3028,3,10,36,1,8,50,20,500,265.1333333,0.512666667
27,0,1,9.3028,3,10,36,1,4,50,40,500,281.9333333,0.463333333
28,0,1,9.3028,3,10,36,1,8,50,40,500,247.4666667,0.442333333
29,0,1,9.3028,3,10,36,1,12,50,40,500,230.4,0.252
30,0,1,9.3028,3,10,36,1,4,50,60,500,215.5666667,0.283333333
31,0,1,9.3028,3,10,36,1,8,50,60,500,221.9666667,0.240333333
32,0,1,9.3028,3,10,36,1,12,50,60,500,234.9333333,0.281333333
33,0,1,9.3028,3,10,36,1,4,50,80,500,172.3666667,0.537333333
34,0,1,9.3028,3,10,36,1,8,50,80,500,163.9833333,0.436166667
35,0,1,9.3028,3,10,36,1,12,50,80,500,247.1,0.323
36,0,1,9.3028,3,10,36,1,4,10,20,500,303.8,0.320333333
37,0,1,9.3028,3,10,36,1,8,10,20,500,462.6666667,0.568333333
39,0,1,9.3028,3,10,36,1,4,10,40,500,242.8,0.251
40,0,1,9.3028,3,10,36,1,8,10,40,500,182.1,0.263
41,0,1,9.3028,3,10,36,1,12,10,40,500,252.6333333,0.273666667
42,0,1,9.3028,3,10,36,1,4,10,60,500,242.8,0.252666667
43,0,1,9.3028,3,10,36,1,8,10,60,500,202.9666667,0.257333333
44,0,1,9.3028,3,10,36,1,12,10,60,500,142.2666667,0.268333333
45,0,1,9.3028,3,10,36,1,4,10,80,500,154.0833333,0.3755
46,0,1,9.3028,3,10,36,1,8,10,80,500,172.25,0.288833333
47,0,1,9.3028,3,10,36,1,12,10,80,500,175.9333333,0.234333333
51,0,1,9.3028,3,10,36,1,4,1,40,500,370.2333333,0.760333333
57,0,1,9.3028,3,10,36,1,4,1,80,500,476.1166667,0.131333333
58,0,1,9.3028,3,10,36,1,8,1,80,500,418.8333333,0.151833333
59,0,1,9.3028,3,10,36,1,12,1,80,500,268.4333333,0.102
60,0,1,9.3028,3,10,36,1,4,200,20,100,514.5666667,0.964
61,0,1,9.3028,3,10,36,1,8,200,20,100,209.0,0.518
62,0,1,9.3028,3,10,36,1,12,200,20,100,296.5333333,0.349333333
63,0,1,9.3028,3,10,36,1,4,200,40,100,75.20666667,0.609333333
64,0,1,9.3028,3,10,36,1,8,200,40,100,210.5666667,0.548
65,0,1,9.3028,3,10,36,1,12,200,40,100,184.1666667,0.46
66,0,1,9.3028,3,10,36,1,4,200,60,100,133.6666667,0.504666667
67,0,1,9.3028,3,10,36,1,8,200,60,100,145.6666667,0.482666667
68,0,1,9.3028,3,10,36,1,12,200,60,100,164.5333333,0.325666667
69,0,1,9.3028,3,10,36,1,4,200,80,100,415.6,0.144666667
70,0,1,9.3028,3,10,36,1,8,200,80,100,420.6,0.213666667
71,0,1,9.3028,3,10,36,1,12,200,80,100,725.6666667,0.112
72,0,1,9.3028,3,10,36,1,4,100,20,100,613.1333333,0.699333333
73,0,1,9.3028,3,10,36,1,8,100,20,100,187.7333333,0.447
74,0,1,9.3028,3,10,36,1,12,100,20,100,99.15666667,0.669666667
75,0,1,9.3028,3,10,36,1,4,100,40,100,118.2,0.441
76,0,1,9.3028,3,10,36,1,8,100,40,100,170.9666667,0.641666667
77,0,1,9.3028,3,10,36,1,12,100,40,100,215.6333333,0.624
