,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,12,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'PDI']",0.0771,0.005953990258641679,0.8395384561317646,0.02925259644777726,0.8664647281256065,0.026734485774265317,0.0
1,10,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'PDI']",0.07744000000000001,0.0058212026248877485,0.8383804675415755,0.028395402228515984,0.8651336236201036,0.027217951126517297,0.01
2,9,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'PDI']",0.07756,0.0062230539126702095,0.8398408647402423,0.02925622261981032,0.8660392762714423,0.029615364483301196,0.02
3,8,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'PDI']",0.09055999999999999,0.0060536270119656375,0.7998194906268083,0.033900535873156945,0.8027840252380412,0.03020398272263963,0.03
4,7,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size']",0.09323999999999998,0.006565241808189552,0.7919505929406189,0.03461698387802346,0.790275193828382,0.03474126216957535,0.04
5,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.09853999999999999,0.009527245142222385,0.7780046368434221,0.040264153592443,0.7207762897963422,0.05801842913987923,0.05
6,5,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage']",0.16542,0.009972141194347379,0.2877363224200165,0.06219535433056944,0.44741517306812567,0.07136988169392335,0.06
7,4,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage']",0.17427999999999996,0.010198117473337908,0.08627978812478604,0.0805245464313381,0.07457938028276404,0.07915932256592279,0.07
8,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.16784000000000002,0.008743820675196854,0.11561664016256422,0.08657443133850487,0.15203591257223992,0.07815133125397476,0.08
9,2,"['P_charged_centers', 'NP_ratio']",0.16760000000000003,0.009075241043630741,0.12867279559207304,0.08322081856979573,0.16940729080855657,0.07495510719808882,0.09
10,1,['P_charged_centers'],0.16672,0.00902228352469595,0.1782476201242401,0.08634741400610073,0.19157416561002674,0.06877710555055776,0.1
