,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,12,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.12402,0.010310169736721119,0.7741073654424091,0.035499611111322577,0.7615615657512338,0.048009333996267806,0.0
1,11,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.12402,0.010310169736721119,0.7741073654424091,0.035499611111322577,0.7615615657512338,0.048009333996267806,0.01
2,10,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.12402,0.010310169736721119,0.7741073654424091,0.035499611111322577,0.7615615657512338,0.048009333996267806,0.02
3,9,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.12436,0.010302931621630807,0.7730736219094249,0.036356150233643185,0.7602593753554953,0.04877458177957444,0.03
4,8,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.13614,0.010415392455399842,0.7428052089961699,0.043431263713751785,0.7141569829354935,0.052914540546390026,0.04
5,7,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",0.13522,0.010960456194885318,0.7394608265088789,0.04831635057065203,0.7149054267391775,0.05393483749800034,0.05
6,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.13912000000000002,0.01080118512016158,0.7322185665985486,0.03819012666176608,0.6799426577655849,0.04572332589636776,0.06
7,5,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage']",0.19934000000000002,0.012145138945273536,0.4025627420547693,0.058544348770467956,0.3771076731762944,0.06111268095305284,0.07
8,4,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage']",0.20400000000000001,0.011627553482998904,0.37658558282939425,0.06428317951030287,0.3550198588925116,0.06563109716453938,0.08
9,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.22084,0.01192033556574646,0.22444551605634466,0.07319011885004706,0.24033469732825477,0.06381968903214129,0.09
10,2,"['P_charged_centers', 'NP_ratio']",0.22196,0.011327771184129738,0.1579007264173203,0.07820223673840626,0.2460100630982175,0.050249154732229226,0.1
11,1,['P_charged_centers'],0.22096,0.011357746255309636,0.2884532197434263,0.05290490805410797,0.26574589958586875,0.044972245424555586,0.11
