,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,14,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'Hbond_A', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.05968000000000001,0.005633613405266641,0.8197430568006722,0.022745747054392692,0.8670158191566874,0.02898542806286811,0.0
1,13,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.05964,0.005659540617399967,0.8193789754084847,0.02268549223966282,0.866801638228373,0.028872229430813034,0.01
2,11,"['P_charged_centers', 'N_charged_centers', 'cTPSA', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.05974,0.005659717307427997,0.8190840892626323,0.023002594924885437,0.8665869712113592,0.028859922295592637,0.02
3,10,"['P_charged_centers', 'N_charged_centers', 'cTPSA', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.05972,0.005632193178505156,0.8191729208950872,0.022776146947464753,0.8665997937822713,0.028917466726499173,0.03
4,9,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.06002,0.005693821212507467,0.816828194918726,0.023138516463030192,0.8652135831059374,0.029182889340098456,0.04
5,8,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",0.057719999999999994,0.005600142855320746,0.82678932319561,0.023728986996723492,0.8722164641194032,0.027883033954938345,0.05
6,7,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",0.07472000000000001,0.005481021802547406,0.7705135672310967,0.020928735282787,0.7578002830958713,0.03551452358212242,0.06
7,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.08816,0.006891618097370167,0.735373659468343,0.027023421963589193,0.6587834347864746,0.03652280612730512,0.07
8,5,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.09015999999999998,0.0070579317083689615,0.7056492774273218,0.03435979337851315,0.6048582694845089,0.03570839650627615,0.08
9,4,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage']",0.09836,0.006072100130926696,0.6384221622902466,0.051264316255198956,0.558273037613574,0.04762204238935683,0.09
10,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.09948,0.006293615812869419,0.6213087644248173,0.0426130502177602,0.5736011137784541,0.04367332821650835,0.1
11,2,"['P_charged_centers', 'NP_ratio']",0.11494,0.0068129582414689725,0.4393446770315856,0.05066467781684827,0.39523021626402755,0.03332975554862616,0.11
12,1,['P_charged_centers'],0.11715999999999997,0.00751361431003748,0.4658921692884195,0.04485447742971738,0.3739671200787833,0.03356518666159282,0.12
