,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,14,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'Hbond_A', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.10486,0.007082400722918747,0.7850242824409486,0.03479678643827329,0.7671565949878442,0.039460075581631525,0.0
1,13,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.1048,0.007138627319029899,0.7851928901923354,0.03501575017382369,0.7673608759902036,0.03952105287291506,0.01
2,11,"['P_charged_centers', 'N_charged_centers', 'cTPSA', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.10718,0.0072046929150380865,0.7719106166039188,0.03488541866454791,0.7531462500449579,0.03983116865603781,0.02
3,10,"['P_charged_centers', 'N_charged_centers', 'cTPSA', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.1074,0.007332121111929344,0.7729402041969563,0.035815339202626965,0.7532847545770391,0.040998293719272,0.03
4,9,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.10858000000000001,0.007122050266601605,0.7654151415275361,0.03499970771865749,0.7490517709918827,0.03993362306666862,0.04
5,8,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",0.1045,0.007256031973468695,0.7834262033095416,0.034734380913861766,0.763368185362727,0.04138091349713901,0.05
6,7,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",0.12442,0.007665741973220859,0.6532324754300517,0.04626748552345312,0.6476456230115808,0.04798378943142524,0.06
7,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.13376000000000002,0.007226506763298571,0.5863239576391667,0.04819348965373094,0.5859227653244458,0.04460570197956228,0.07
8,5,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.14056000000000002,0.007689369284928377,0.5385871731550802,0.05052711103471528,0.5446275068124712,0.04644847891880359,0.08
9,4,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage']",0.15418,0.008684906447394817,0.4386438320592997,0.05297883500354439,0.4252947363887198,0.05317259228674403,0.09
10,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.16244,0.009254534023925787,0.336166727694506,0.06003632563664233,0.32130904670484334,0.062088085778047995,0.1
11,2,"['P_charged_centers', 'NP_ratio']",0.16188,0.009638755106340238,0.3066189014431122,0.06057059803052596,0.31670223363491384,0.06252525268313562,0.11
12,1,['P_charged_centers'],0.16904000000000002,0.008592927324259174,0.22808991116999167,0.07340010464011416,0.2108357151875463,0.07626783292524403,0.12
