,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,14,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'Hbond_A', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.04881999999999999,0.006993396885634333,0.6451706002018143,0.048415872815809016,0.8139130075673691,0.055754346778663866,0.0
1,13,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.04881999999999999,0.006993396885634333,0.6451706002018143,0.048415872815809016,0.8139130075673691,0.055754346778663866,0.01
2,11,"['P_charged_centers', 'N_charged_centers', 'cTPSA', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.04895999999999999,0.0068642843763935075,0.6454589110450106,0.04939484183560648,0.8135577850754487,0.05590568763011376,0.02
3,10,"['P_charged_centers', 'N_charged_centers', 'cTPSA', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.04897999999999999,0.0068832840999046374,0.6454401243319303,0.04962495926401163,0.8136955308488041,0.055528153966919166,0.03
4,9,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.04987999999999999,0.006816568051446417,0.6387537742859809,0.05178193511848817,0.8096398332694931,0.05599855988322158,0.04
5,8,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",0.0469,0.006122907805936654,0.6473047382450926,0.05210115448530445,0.8301063841847557,0.05253317437254123,0.05
6,7,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",0.06764,0.008130830215912764,0.5698826655307623,0.050161111078812895,0.6584601964441826,0.07477601459131027,0.06
7,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.07922000000000001,0.010338839393278145,0.5426441576350488,0.050467279631111035,0.5209269831561218,0.060917592681387855,0.07
8,5,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.10178,0.010763438112424858,0.33369474024551743,0.06599424731569947,0.25474103803616027,0.06911326923383487,0.08
9,4,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage']",0.10134,0.009725451146347916,0.3714250413615617,0.055965023508286166,0.2913553795340963,0.054060054484257096,0.09
10,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.10018,0.009416347487216049,0.40761140451057154,0.054509021955867154,0.341984876523931,0.05758045492898297,0.1
11,2,"['P_charged_centers', 'NP_ratio']",0.10854,0.009099912087487439,0.2697079320452243,0.05178921898052006,0.24828564988550933,0.03473619206691451,0.11
12,1,['P_charged_centers'],0.10921999999999998,0.008809744604697687,0.2934314384651984,0.03360107373675542,0.25004857385077267,0.024001330881083596,0.12
