,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,12,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.07424,0.006706891977659995,0.8544897380648787,0.03504120361242972,0.879943557180348,0.03199609336595107,0.0
1,11,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.07424,0.006706891977659995,0.8544897380648787,0.03504120361242972,0.879943557180348,0.03199609336595107,0.01
2,10,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.07424,0.006706891977659995,0.8544897380648787,0.03504120361242972,0.879943557180348,0.03199609336595107,0.02
3,9,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.07474,0.006415013639891967,0.854143030244134,0.03520155511582195,0.87863983212304,0.0317715845433921,0.03
4,8,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.08758,0.007547423401399977,0.7975068373764883,0.055255215040554584,0.8076398817359559,0.049675885265368626,0.04
5,7,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",0.09027999999999999,0.009622972513729839,0.7866971495803707,0.06016245450590015,0.7778352279098496,0.06854303486814171,0.05
6,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.10818,0.010240488269609025,0.7332796065043995,0.052102347239561954,0.656469645967073,0.06584856781187602,0.06
7,5,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage']",0.16056,0.00935982905826811,0.3333257328765897,0.06906244076220527,0.4612195736407895,0.07896247551035633,0.07
8,4,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage']",0.16844,0.011600275858788877,0.1602675783239244,0.07885494394539493,0.10873277613459464,0.06612299002914912,0.08
9,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.1659,0.011715374513859983,0.11840298370672941,0.09413296018686049,0.16961198879603498,0.07019548635476355,0.09
10,2,"['P_charged_centers', 'NP_ratio']",0.1655,0.011711959699384215,0.11945889652439902,0.08813800323931552,0.19111067671908244,0.06076135206602638,0.1
11,1,['P_charged_centers'],0.16436000000000003,0.011497408403636014,0.22387376191561564,0.07735213222431603,0.2155207524995739,0.056946001746253576,0.11
