,P_charged_centers,N_charged_centers,cLogP,Hbond_D,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,Zeta,RLU_ARPE19
0,0.0,1.0,9.3028,3.0,4.0,200.0,20.0,500.0,440.1666667,-7.193333333,0.30111277196478986
1,0.0,1.0,9.3028,3.0,8.0,200.0,20.0,500.0,320.9666667,-5.036666667,0.28699551569506726
2,0.0,1.0,9.3028,3.0,12.0,200.0,20.0,500.0,205.6333333,-0.522666667,0.08071748878923762
3,0.0,1.0,9.3028,3.0,4.0,200.0,40.0,500.0,236.0666667,-4.42,0.1436638432154127
4,0.0,1.0,9.3028,3.0,8.0,200.0,40.0,500.0,188.6,-3.686666667,0.16043846537120082
5,0.0,1.0,9.3028,3.0,12.0,200.0,40.0,500.0,248.3,-2.553333333,0.1436638432154127
6,0.0,1.0,9.3028,3.0,4.0,200.0,60.0,500.0,221.0666667,-1.06,0.08071748878923762
7,0.0,1.0,9.3028,3.0,8.0,200.0,60.0,500.0,206.6333333,1.177333333,0.052981232353429664
8,0.0,1.0,9.3028,3.0,12.0,200.0,60.0,500.0,239.3,-0.068333333,0.15296462381664172
10,0.0,1.0,9.3028,3.0,8.0,200.0,80.0,500.0,195.4666667,-14.43333333,0.5676797874107291
12,0.0,1.0,9.3028,3.0,4.0,100.0,20.0,500.0,395.5333333,-9.85,0.18933731938216242
13,0.0,1.0,9.3028,3.0,8.0,100.0,20.0,500.0,412.0666667,-4.376666667,0.329015113768477
15,0.0,1.0,9.3028,3.0,4.0,100.0,40.0,500.0,218.7666667,-4.306666667,0.03720312240491608
16,0.0,1.0,9.3028,3.0,8.0,100.0,40.0,500.0,221.7666667,-1.85,0.15296462381664172
18,0.0,1.0,9.3028,3.0,4.0,100.0,60.0,500.0,227.4,0.728366667,0.15296462381664172
19,0.0,1.0,9.3028,3.0,8.0,100.0,60.0,500.0,217.1,-0.417,0.5593755190167746
20,0.0,1.0,9.3028,3.0,12.0,100.0,60.0,500.0,241.5666667,-2.663333333,0.4778276033881416
22,0.0,1.0,9.3028,3.0,8.0,100.0,80.0,500.0,184.6,-17.4,0.15296462381664172
