,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,12,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.11823999999999998,0.009118245445259741,0.707985092151802,0.05034576138630383,0.764752892893284,0.04923577478439372,0.0
1,11,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.11775999999999998,0.009362820087986312,0.711067325495603,0.05231940655757963,0.7661602923832112,0.049659387084742844,0.01
2,10,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.11719999999999998,0.009299462350050138,0.71327507514019,0.0515796928850371,0.7678006606037315,0.048482791013034154,0.02
3,9,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.11847999999999997,0.008969370100514306,0.7102583843741536,0.051783322374935596,0.7612114012791749,0.049307413206420486,0.03
4,8,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.13040000000000002,0.009421252570651103,0.6795969401805627,0.04936653057078168,0.7085962963089786,0.048492533194805225,0.04
5,7,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",0.12882,0.009638858853619552,0.670579181029665,0.04729735045168936,0.6957793196828654,0.046310552041970605,0.05
6,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.14376,0.010370265184651738,0.6087452356299465,0.04512894185599452,0.5803645873465544,0.047374316094468696,0.06
7,5,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage']",0.19848,0.010877940981638022,0.23517899198184883,0.06706201242511747,0.2459427358165286,0.06987415353501285,0.07
8,4,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage']",0.18106000000000003,0.0110243548564077,0.3352766441718651,0.06770219233438246,0.3497787721603881,0.07214775203532225,0.08
9,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.19380000000000003,0.01124455423749648,0.18803001362413738,0.06587191903783389,0.24963003432439113,0.05125303835350206,0.09
10,2,"['P_charged_centers', 'NP_ratio']",0.19505999999999996,0.011024354856407697,0.11972119701236977,0.06296046816046291,0.25157318803205975,0.049397520580683335,0.1
11,1,['P_charged_centers'],0.19395999999999997,0.011088660874965921,0.24355150145019672,0.06391976627618738,0.2707521461737449,0.05146630983631199,0.11
