,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,13,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.09508,0.006029394662816493,0.7776944952253794,0.03409502083818174,0.7668644753885006,0.03388799643473962,0.0
1,12,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.09487999999999999,0.005570062836270341,0.7789283874543862,0.03137566401790935,0.7682496143018598,0.031835927502590185,0.01
2,11,"['P_charged_centers', 'N_charged_centers', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.09655999999999997,0.00585204237852051,0.7679052017774053,0.034352378625314886,0.7584700725201379,0.03471213200666741,0.02
3,10,"['P_charged_centers', 'N_charged_centers', 'Hbond_D', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.09709999999999999,0.005692978130996113,0.767879346812643,0.03250899770391205,0.758207913292183,0.03275172165960365,0.03
4,9,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.09934,0.005225361231532228,0.754133753266453,0.029925279602478462,0.7459942613008939,0.03173754362962228,0.04
5,8,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",0.0934,0.005347896782848376,0.7837697834844627,0.03149678817613183,0.7757757734667051,0.03258114193842936,0.05
6,7,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",0.11768000000000002,0.006087495379875043,0.6400753258998043,0.04420383083845335,0.634660879759818,0.04514209760554418,0.06
7,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.13646,0.007866918075078699,0.5135625237340811,0.05305755191032461,0.5086957261830453,0.05780409693033011,0.07
8,5,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Chol_DMG-PEG_ratio']",0.14766,0.0086060676269711,0.4396909995151349,0.05433761795847778,0.4338959699158955,0.053698888628139006,0.08
9,4,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Chol_DMG-PEG_ratio']",0.14584,0.009100241755030465,0.41035428848064526,0.06477664870936445,0.4018429468576064,0.06647519200254541,0.09
10,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.15588000000000002,0.008512672905732961,0.27757723811100116,0.06353247746492884,0.2695811621743387,0.06312048315759418,0.1
11,2,"['P_charged_centers', 'NP_ratio']",0.15534000000000003,0.008638541543570888,0.2651281499343546,0.06162219604745006,0.26350858656184906,0.06215010597004419,0.11
12,1,['P_charged_centers'],0.16036,0.008194534764097353,0.17186227894987322,0.06927891615430207,0.16269734560997243,0.0728162202690929,0.12
