,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,13,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.05648,0.00570347262639175,0.4673082278676394,0.062379300860675224,0.7800101282023738,0.03959130515960767,0.0
1,12,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.056799999999999996,0.005571355310873649,0.46698899342805705,0.06459484941159292,0.7787833432041167,0.040105000179708826,0.01
2,11,"['P_charged_centers', 'N_charged_centers', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.05720000000000001,0.00563205113613149,0.46419168101625735,0.06851306785238,0.7790250634146523,0.03680320061815763,0.02
3,10,"['P_charged_centers', 'N_charged_centers', 'Hbond_D', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.057440000000000005,0.005745119668031293,0.4672405340573663,0.0671716934143258,0.7774976772213695,0.03562694226708368,0.03
4,9,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.05769999999999999,0.005671860364994894,0.4615432464601512,0.06600120838959157,0.7766410314471205,0.03635613993976456,0.04
5,8,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",0.056479999999999995,0.005485398800451979,0.4550274291831476,0.06627843316168201,0.7887938762949751,0.039184027428447,0.05
6,7,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",0.07276,0.007195998888271175,0.3864189402513123,0.059109065275244,0.6279398311296358,0.06071934540772041,0.06
7,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.07694,0.008628812200992672,0.41693222278013864,0.048000111241749466,0.5593897341525073,0.06440630655111701,0.07
8,5,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Chol_DMG-PEG_ratio']",0.06890000000000002,0.007702596964660684,0.40922128651652606,0.06272666845300873,0.6360772101865844,0.06229757449747778,0.08
9,4,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Chol_DMG-PEG_ratio']",0.08693999999999999,0.007661357582047714,0.3230828031438599,0.06731211731768089,0.3558467679988853,0.06329105376796859,0.09
10,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.08869999999999999,0.007349149610669251,0.3093271034833821,0.07043140178902028,0.3443278476931897,0.05922532619350452,0.1
11,2,"['P_charged_centers', 'NP_ratio']",0.09504,0.006982721532468555,0.24076155926559,0.05376355750223997,0.2708954898469855,0.0328964893891898,0.11
12,1,['P_charged_centers'],0.09546000000000002,0.007063172091914511,0.27060901374573626,0.05371980435742595,0.2781905020743571,0.034874382350360444,0.12
