,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,12,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.07125999999999999,0.007107207609180978,0.8342288391260678,0.03461184306192201,0.865926978493021,0.029382120050466358,0.0
1,11,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.07125999999999999,0.007107207609180978,0.8342288391260678,0.03461184306192201,0.8659268221493397,0.0293820485332285,0.01
2,10,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.07134,0.007251510187540248,0.8339412969784955,0.03410251944802635,0.8657984919295457,0.029472122399549536,0.02
3,9,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.07188,0.007106729205478423,0.8330265604769208,0.034638334293064676,0.86395890280457,0.03050516237414971,0.03
4,8,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.0797,0.006670082458260918,0.7982539270169782,0.049190015402891404,0.7986173988908963,0.04369056916309307,0.04
5,7,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",0.08128,0.007445911629881193,0.793973496918868,0.05441280798535265,0.7820913978355374,0.06164204513928123,0.05
6,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.08986,0.007751154752680404,0.7758165029852203,0.04677743285712255,0.7160432513162458,0.06834044170232972,0.06
7,5,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage']",0.13744,0.008872789865651046,0.3968102568715063,0.08022557691325978,0.4976699408404069,0.0907413069968361,0.07
8,4,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage']",0.15154,0.011423151929305677,0.1716995364733275,0.09307149778531809,0.11462563809171651,0.09087978585139325,0.08
9,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.14946,0.011515572065685663,0.148702877711745,0.08096704626407579,0.18759749364463357,0.06678196481106145,0.09
10,2,"['P_charged_centers', 'NP_ratio']",0.1496,0.01146821694946516,0.14237815557817637,0.07665949713418797,0.20221849201622588,0.06529661615130704,0.1
11,1,['P_charged_centers'],0.14884000000000003,0.01114694577003046,0.21234858353076208,0.07949020186024006,0.22194943795372896,0.06227775284592436,0.11
