,P_charged_centers,N_charged_centers,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_PC3
0,0.0,1.0,1.0,4.0,200.0,20.0,500.0,0.007469654528478059
1,0.0,1.0,1.0,8.0,200.0,20.0,500.0,0.027544351073762824
2,0.0,1.0,1.0,12.0,200.0,20.0,500.0,0.11496265172735756
3,0.0,1.0,1.0,4.0,200.0,40.0,500.0,0.01458916900093371
4,0.0,1.0,1.0,8.0,200.0,40.0,500.0,0.11496265172735756
5,0.0,1.0,1.0,12.0,200.0,40.0,500.0,0.021241830065359485
6,0.0,1.0,1.0,4.0,200.0,60.0,500.0,0.059640522875816976
7,0.0,1.0,1.0,8.0,200.0,60.0,500.0,0.11496265172735756
8,0.0,1.0,1.0,12.0,200.0,60.0,500.0,0.11496265172735756
10,0.0,1.0,1.0,8.0,200.0,80.0,500.0,0.11496265172735756
12,0.0,1.0,1.0,4.0,100.0,20.0,500.0,0.11496265172735756
13,0.0,1.0,1.0,8.0,100.0,20.0,500.0,0.11496265172735756
15,0.0,1.0,1.0,4.0,100.0,40.0,500.0,0.11496265172735756
16,0.0,1.0,1.0,8.0,100.0,40.0,500.0,0.11496265172735756
18,0.0,1.0,1.0,4.0,100.0,60.0,500.0,0.11496265172735756
19,0.0,1.0,1.0,8.0,100.0,60.0,500.0,0.11496265172735756
20,0.0,1.0,1.0,12.0,100.0,60.0,500.0,0.11496265172735756
22,0.0,1.0,1.0,8.0,100.0,80.0,500.0,0.11496265172735756
23,0.0,1.0,1.0,12.0,100.0,80.0,500.0,0.11496265172735756
24,0.0,1.0,1.0,4.0,50.0,20.0,500.0,0.11496265172735756
28,0.0,1.0,1.0,8.0,50.0,40.0,500.0,0.11496265172735756
29,0.0,1.0,1.0,12.0,50.0,40.0,500.0,0.11496265172735756
30,0.0,1.0,1.0,4.0,50.0,60.0,500.0,0.11496265172735756
31,0.0,1.0,1.0,8.0,50.0,60.0,500.0,0.11496265172735756
