,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,12,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.05208,0.006668852974837577,0.49984506613848756,0.06263892793284445,0.873610521265733,0.029801537932260213,0.0
1,11,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.05212,0.006607995157383213,0.4999682525481991,0.06247837615921228,0.8735407058731149,0.029849235372129617,0.01
2,10,"['P_charged_centers', 'N_charged_centers', 'Hbond_D', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.051759999999999994,0.006631922798103126,0.49883208414713165,0.06258376099426226,0.8741305138323088,0.029832068250662536,0.02
3,9,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.051759999999999994,0.006688976005338934,0.49924391715990163,0.062033936899114156,0.8741635225486846,0.02977637143723725,0.03
4,8,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",0.05176,0.006404873144723477,0.49656799463252305,0.06153532514093226,0.8775693121490007,0.028157846146936543,0.04
5,7,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.05005999999999999,0.006243108200247693,0.4869125748500858,0.05948568377549298,0.8909668296807678,0.025303921296062026,0.05
6,6,"['P_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.12992,0.012540877162304079,0.28031718717471976,0.055923819630627626,0.20184541773997514,0.061301439680550227,0.06
7,5,"['P_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Chol_DMG-PEG_ratio']",0.11031999999999999,0.01046793198296588,0.31049582047090846,0.06423716306853329,0.4113674082750636,0.0751989559779538,0.07
8,4,"['P_charged_centers', 'Double_bonds', 'Dlin-MC3_Helper lipid_ratio', 'Chol_DMG-PEG_ratio']",0.10424,0.009569869382598697,0.3550983700644126,0.06072007555621241,0.49293977785011245,0.06974643795827325,0.08
9,3,"['P_charged_centers', 'Double_bonds', 'Chol_DMG-PEG_ratio']",0.11991999999999998,0.010148576254825108,0.23534403075407476,0.049027053905805244,0.3168946795775365,0.0541437555338057,0.09
10,2,"['P_charged_centers', 'Double_bonds']",0.12226000000000001,0.009941448586599438,0.2264648902735794,0.0532030733544437,0.29072260180975923,0.039810384711336515,0.1
11,1,['P_charged_centers'],0.12366000000000002,0.00974188893387725,0.19470778367342564,0.051863581866335176,0.2757076641384281,0.02932456934721823,0.11
