,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,13,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.049019999999999994,0.003997449186668919,0.8226788014722706,0.026099642097458003,0.8981220170074491,0.018763494943595704,0.0
1,12,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.04927999999999999,0.00396,0.8216891611583516,0.025531269169928733,0.8974258073080636,0.018215268261159795,0.01
2,11,"['P_charged_centers', 'N_charged_centers', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.0493,0.0038845849199110063,0.8214933405549811,0.027063830068584396,0.8972585961958681,0.018945258911494477,0.02
3,10,"['P_charged_centers', 'N_charged_centers', 'Hbond_D', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.04928,0.00405482428719174,0.8209748249815064,0.027112200059312315,0.8976427655705682,0.01855375887146979,0.03
4,9,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.05004,0.0038676090805560997,0.8173336716452891,0.02594630237231652,0.8954979602639621,0.017337530070062016,0.04
5,8,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",0.048080000000000005,0.0035991110013446374,0.825720228110507,0.024252595451578006,0.9053243873974042,0.017156741449256004,0.05
6,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.07856,0.0061160771741370305,0.7556190115049561,0.028102791499496935,0.7005097143123272,0.0343132850880931,0.06
7,5,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage']",0.08998000000000003,0.007193024398679599,0.6491729086376047,0.04343642901698103,0.5970953819785478,0.041243542844195354,0.07
8,4,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage']",0.09115999999999999,0.00655548625198772,0.6352958088965261,0.039989461877729046,0.5743811282730581,0.04222118772724316,0.08
9,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.09344,0.0063282224992489014,0.6072741103937427,0.03973663600240416,0.5693539139097384,0.04625563184639099,0.09
10,2,"['P_charged_centers', 'NP_ratio']",0.10674000000000002,0.00684342019753281,0.46629282293070035,0.0446508836980225,0.4168169824435609,0.03199437260437101,0.1
11,1,['P_charged_centers'],0.10845999999999999,0.006585468851949723,0.485101430991721,0.03196816640438311,0.4003031108914598,0.02686504779566652,0.11
