,Feature,Feature_Value,Avg_SHAP
0,NP_ratio,4.0,-0.005676530680999905
1,NP_ratio,8.0,0.010682564777494847
2,NP_ratio,12.0,-0.003961723300935396
3,Dlin-MC3_Helper lipid_ratio,200.0,-0.021041672687213048
4,Dlin-MC3_Helper lipid_ratio,100.0,-0.057179654320814025
5,Dlin-MC3_Helper lipid_ratio,50.0,-0.038096083775753437
6,Dlin-MC3_Helper lipid_ratio,10.0,0.006912939155818784
7,Dlin-MC3_Helper lipid_ratio,1.0,0.11818401888084516
8,Dlin-MC3+Helper lipid percentage,20.0,0.08146853986263287
9,Dlin-MC3+Helper lipid percentage,40.0,0.051833917151277734
10,Dlin-MC3+Helper lipid percentage,60.0,-0.01569167779879261
11,Dlin-MC3+Helper lipid percentage,80.0,-0.07228366291676898
12,Chol_DMG-PEG_ratio,500.0,0.04419059173206173
13,Chol_DMG-PEG_ratio,100.0,0.12127341064136243
14,Chol_DMG-PEG_ratio,10.0,-0.14311373286289336
