,Feature,Feature_Value,Avg_SHAP
0,NP_ratio,4.0,-0.01591085428304202
1,NP_ratio,8.0,-0.014088934099270162
2,NP_ratio,12.0,0.031121595381266142
3,Dlin-MC3_Helper lipid_ratio,200.0,-0.03806705514002901
4,Dlin-MC3_Helper lipid_ratio,100.0,-0.04070653576742959
5,Dlin-MC3_Helper lipid_ratio,50.0,-0.020165416857180186
6,Dlin-MC3_Helper lipid_ratio,10.0,0.05092535266774863
7,Dlin-MC3_Helper lipid_ratio,1.0,0.04335326507638728
8,Dlin-MC3+Helper lipid percentage,20.0,0.006134989190512907
9,Dlin-MC3+Helper lipid percentage,40.0,0.019848443648576575
10,Dlin-MC3+Helper lipid percentage,60.0,-0.008627666980488023
11,Dlin-MC3+Helper lipid percentage,80.0,-0.012457591271866445
12,Chol_DMG-PEG_ratio,500.0,6.697754711077051e-05
13,Chol_DMG-PEG_ratio,100.0,0.05657400955762521
14,Chol_DMG-PEG_ratio,10.0,-0.041274064032342066
