,Feature,Feature_Value,Avg_SHAP
0,NP_ratio,4.0,-0.008002431855834427
1,NP_ratio,8.0,-0.007685060339400885
2,NP_ratio,12.0,0.02213024827362092
3,Dlin-MC3_Helper lipid_ratio,200.0,-0.06284773490487518
4,Dlin-MC3_Helper lipid_ratio,100.0,-0.0726694997179311
5,Dlin-MC3_Helper lipid_ratio,50.0,-0.058980075997507056
6,Dlin-MC3_Helper lipid_ratio,10.0,0.002011569105001129
7,Dlin-MC3_Helper lipid_ratio,1.0,0.15782298233125336
8,Dlin-MC3+Helper lipid percentage,20.0,-0.029642669181409623
9,Dlin-MC3+Helper lipid percentage,40.0,-0.010056403180941092
10,Dlin-MC3+Helper lipid percentage,60.0,0.0022170842648112517
11,Dlin-MC3+Helper lipid percentage,80.0,0.020970946063636014
12,Chol_DMG-PEG_ratio,500.0,-0.01101116955490245
13,Chol_DMG-PEG_ratio,100.0,0.03882246731570029
14,Chol_DMG-PEG_ratio,10.0,-0.03259559717117065
