,Feature,Feature_Value,Avg_SHAP
0,NP_ratio,4.0,-0.006477623298987736
1,NP_ratio,8.0,-0.011397546108283634
2,NP_ratio,12.0,0.01731670092966593
3,Dlin-MC3_Helper lipid_ratio,200.0,-0.04984957339918313
4,Dlin-MC3_Helper lipid_ratio,100.0,-0.053476394080892935
5,Dlin-MC3_Helper lipid_ratio,50.0,-0.0480272577535744
6,Dlin-MC3_Helper lipid_ratio,10.0,0.023758764097637265
7,Dlin-MC3_Helper lipid_ratio,1.0,0.11758063941155256
8,Dlin-MC3+Helper lipid percentage,20.0,-0.03762929100016524
9,Dlin-MC3+Helper lipid percentage,40.0,-0.008333766486180528
10,Dlin-MC3+Helper lipid percentage,60.0,0.012923859087789607
11,Dlin-MC3+Helper lipid percentage,80.0,0.016422132909197838
12,Chol_DMG-PEG_ratio,500.0,-0.011078902739760274
13,Chol_DMG-PEG_ratio,100.0,0.019826561329812566
14,Chol_DMG-PEG_ratio,10.0,-0.005553581629245726
