,Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
0,NP_ratio,4.0,4.0,0.0030600886345517244
1,NP_ratio,8.0,8.0,0.00872953218427839
2,NP_ratio,12.0,12.0,-0.007736912937224614
3,NP_ratio,,,
4,Dlin-MC3_Helper lipid_ratio,200.0,200.0,-0.041813183242592346
5,Dlin-MC3_Helper lipid_ratio,100.0,100.0,-0.06439739649180992
6,Dlin-MC3_Helper lipid_ratio,50.0,50.0,-0.048470215499905746
7,Dlin-MC3_Helper lipid_ratio,10.0,10.0,-0.012232075790174133
8,Dlin-MC3_Helper lipid_ratio,1.0,1.0,0.07995111260054243
9,Dlin-MC3_Helper lipid_ratio,,,
10,Dlin-MC3+Helper lipid percentage,20.0,20.0,0.04750201392056042
11,Dlin-MC3+Helper lipid percentage,40.0,40.0,0.02796959843175556
12,Dlin-MC3+Helper lipid percentage,60.0,60.0,-0.023843468842266978
13,Dlin-MC3+Helper lipid percentage,80.0,80.0,-0.06620511744925756
14,Dlin-MC3+Helper lipid percentage,,,
15,Chol_DMG-PEG_ratio,500.0,500.0,0.05613719973274808
16,Chol_DMG-PEG_ratio,100.0,100.0,0.12439347799014673
17,Chol_DMG-PEG_ratio,10.0,10.0,-0.1052267196920271
18,Chol_DMG-PEG_ratio,,,
19,P_charged_centers,0.0,0.0,-0.025445599286634157
20,P_charged_centers,1.0,1.0,0.015947330932280023
21,P_charged_centers,,,
22,N_charged_centers,1.0,1.0,-0.014238847826877106
23,N_charged_centers,0.0,0.0,-0.003501666374012584
24,N_charged_centers,,,
25,Double_bonds,,,
26,Zeta,"(-9.666666666666668, -0.5555555555555571)",-5.1111111111111125,-2.0445573839058253e-05
27,Zeta,"(-0.5555555555555571, 8.555555555555557)",4.0,-0.013152544934886311
28,Zeta,"(-18.77777777777778, -9.666666666666668)",-14.222222222222223,0.02431704648208199
29,Zeta,"(-27.88888888888889, -18.77777777777778)",-23.333333333333336,0.03209790584906031
30,Zeta,"(8.555555555555557, 17.666666666666664)",13.11111111111111,-0.022596918731540083
31,Zeta,"(-37.0, -27.88888888888889)",-32.44444444444444,0.025387219036540787
32,Zeta,"(17.666666666666664, 26.77777777777777)",22.222222222222218,-0.016039404270778053
33,Zeta,"(35.888888888888886, 45.0)",40.44444444444444,0.015444240974394483
34,Zeta,"(26.77777777777777, 35.888888888888886)",31.33333333333333,0.042923533019229694
35,Zeta,"(35.888888888888886, 45.0)",40.44444444444444,0.03851628143155056
