,Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
0,NP_ratio,4.0,4.0,-0.05241410901576744
1,NP_ratio,8.0,8.0,0.012959270718420802
2,NP_ratio,12.0,12.0,0.029433579521396903
3,Dlin-MC3_Helper lipid_ratio,200.0,200.0,-0.009888742398826382
4,Dlin-MC3_Helper lipid_ratio,100.0,100.0,-0.005106625048520358
5,Dlin-MC3_Helper lipid_ratio,50.0,50.0,0.008420004221347874
6,Dlin-MC3_Helper lipid_ratio,10.0,10.0,0.0599353365396432
7,Dlin-MC3_Helper lipid_ratio,1.0,1.0,-0.02507923503798226
8,Dlin-MC3+Helper lipid percentage,20.0,20.0,-0.08015691973384342
9,Dlin-MC3+Helper lipid percentage,40.0,40.0,-0.018129065810460795
10,Dlin-MC3+Helper lipid percentage,60.0,60.0,0.08247033979372385
11,Dlin-MC3+Helper lipid percentage,80.0,80.0,-0.02354681644055292
12,Chol_DMG-PEG_ratio,500.0,500.0,-0.018801897609831215
13,Chol_DMG-PEG_ratio,100.0,100.0,0.07011997864600207
14,Chol_DMG-PEG_ratio,10.0,10.0,-0.04026653417013589
15,P_charged_centers,0.0,0.0,0.0001876366853842177
16,P_charged_centers,1.0,1.0,0.0033239239416837985
17,N_charged_centers,1.0,1.0,-0.011155329333080872
18,N_charged_centers,0.0,0.0,0.019049839294455678
19,Double_bonds,1.0,1.0,0.011126886523057444
20,Double_bonds,2.0,2.0,0.04947409820144243
21,Double_bonds,0.0,0.0,-0.023533846672124197
22,Zeta,"(-9.666666666666668, -0.5555555555555571)",-5.1111111111111125,-0.01798707612997454
23,Zeta,"(-0.5555555555555571, 8.555555555555557)",4.0,0.0368241979564721
24,Zeta,"(-18.77777777777778, -9.666666666666668)",-14.222222222222223,0.017415736225501553
25,Zeta,"(-27.88888888888889, -18.77777777777778)",-23.333333333333336,0.01118754192127432
26,Zeta,"(8.555555555555557, 17.666666666666664)",13.11111111111111,0.019967039636284444
27,Zeta,"(-37.0, -27.88888888888889)",-32.44444444444444,-0.0520928499109799
28,Zeta,"(17.666666666666664, 26.77777777777777)",22.222222222222218,-0.004827012515102415
29,Zeta,"(35.888888888888886, 45.0)",40.44444444444444,-0.017007198037568547
30,Zeta,"(26.77777777777777, 35.888888888888886)",31.33333333333333,-0.022369177139386347
