,Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
0,NP_ratio,4.0,4.0,-0.0008758049375066286
1,NP_ratio,8.0,8.0,-0.002050970783818574
2,NP_ratio,12.0,12.0,0.002650617301019216
3,Dlin-MC3_Helper lipid_ratio,200.0,200.0,-0.0720806641730633
4,Dlin-MC3_Helper lipid_ratio,100.0,100.0,-0.06675497271161179
5,Dlin-MC3_Helper lipid_ratio,50.0,50.0,-0.05238195365709829
6,Dlin-MC3_Helper lipid_ratio,10.0,10.0,0.029136072183165388
7,Dlin-MC3_Helper lipid_ratio,1.0,1.0,0.1690823967400902
8,Dlin-MC3+Helper lipid percentage,20.0,20.0,0.0003277674175260525
9,Dlin-MC3+Helper lipid percentage,40.0,40.0,0.008061344416214124
10,Dlin-MC3+Helper lipid percentage,60.0,60.0,0.015199484481971821
11,Dlin-MC3+Helper lipid percentage,80.0,80.0,-0.027490456561539846
12,Chol_DMG-PEG_ratio,500.0,500.0,0.05666984942090188
13,Chol_DMG-PEG_ratio,100.0,100.0,0.02562117869864115
14,Chol_DMG-PEG_ratio,10.0,10.0,-0.09276742366608635
15,P_charged_centers,0.0,0.0,-0.008919394269190657
16,P_charged_centers,1.0,1.0,0.003666486492390625
17,N_charged_centers,1.0,1.0,0.000135835240143932
18,N_charged_centers,0.0,0.0,-3.5429411245858814e-05
19,Double_bonds,,,
20,Zeta,"(-9.666666666666668, -0.5555555555555571)",-5.1111111111111125,-0.008296650961468807
21,Zeta,"(-0.5555555555555571, 8.555555555555557)",4.0,0.008961596886943651
22,Zeta,"(-18.77777777777778, -9.666666666666668)",-14.222222222222223,0.01598551359417883
23,Zeta,"(-27.88888888888889, -18.77777777777778)",-23.333333333333336,0.03300416286978879
24,Zeta,"(8.555555555555557, 17.666666666666664)",13.11111111111111,0.021086947174937407
25,Zeta,"(-37.0, -27.88888888888889)",-32.44444444444444,0.015610579001942126
26,Zeta,"(17.666666666666664, 26.77777777777777)",22.222222222222218,0.023092134932245097
27,Zeta,"(35.888888888888886, 45.0)",40.44444444444444,0.009098837916014228
28,Zeta,"(26.77777777777777, 35.888888888888886)",31.33333333333333,0.032838247053483004
