,Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
0,NP_ratio,4.0,4.0,-0.005719251095351505
1,NP_ratio,8.0,8.0,-0.012471235136293132
2,NP_ratio,12.0,12.0,0.013473642121865399
3,Dlin-MC3_Helper lipid_ratio,200.0,200.0,-0.051578287254819374
4,Dlin-MC3_Helper lipid_ratio,100.0,100.0,-0.05744624874225527
5,Dlin-MC3_Helper lipid_ratio,50.0,50.0,-0.050454392145077034
6,Dlin-MC3_Helper lipid_ratio,10.0,10.0,0.016035546727879595
7,Dlin-MC3_Helper lipid_ratio,1.0,1.0,0.10148917988865643
8,Dlin-MC3+Helper lipid percentage,20.0,20.0,-0.04382371666216362
9,Dlin-MC3+Helper lipid percentage,40.0,40.0,-0.011625562158358875
10,Dlin-MC3+Helper lipid percentage,60.0,60.0,0.016098472410588566
11,Dlin-MC3+Helper lipid percentage,80.0,80.0,0.018693599337685947
12,Chol_DMG-PEG_ratio,500.0,500.0,-0.009642568785876798
13,Chol_DMG-PEG_ratio,100.0,100.0,0.022260893292406877
14,Chol_DMG-PEG_ratio,10.0,10.0,-0.019767371485208057
15,P_charged_centers,0.0,0.0,-0.0010060516519037352
16,P_charged_centers,1.0,1.0,0.00027754546803300675
17,N_charged_centers,1.0,1.0,-0.09337357615778816
18,N_charged_centers,0.0,0.0,0.14841080647647173
19,Double_bonds,1.0,1.0,0.005555568744327216
20,Double_bonds,2.0,2.0,-0.019666462253698374
21,Double_bonds,0.0,0.0,0.014893432272595434
22,Zeta,,,
