,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance,Cell_Type,Model
0,7,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.03996,0.034986808865169916,0.6363368842119893,0.034986808865169916,0.9072666922477416,0.02255653740670725,2.25,PC3,RF
1,7,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.042280000000000005,0.04206391710798342,0.6151236649842093,0.04206391710798342,0.9137979178190544,0.01938009187546125,2.25,PC3,XGB
2,7,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.04092,0.0439333910969704,0.6236412735317972,0.0439333910969704,0.9130002310527776,0.01933641273728617,2.25,PC3,LGBM
3,7,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.044,0.021502445338091286,0.8482275603451739,0.021502445338091286,0.9126097084737842,0.018601690585279,2.25,B16,RF
4,8,"['P_charged_centers', 'N_charged_centers', 'cTPSA', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.04189999999999999,0.02034640473930236,0.8442483620961276,0.02034640473930236,0.926314359929294,0.014286691746641164,1.5833333333333333,B16,XGB
5,8,"['P_charged_centers', 'N_charged_centers', 'cTPSA', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.039760000000000004,0.02023709521175963,0.8504115244828658,0.02023709521175963,0.9282288178959673,0.013172067273052602,1.5833333333333333,B16,LGBM
6,7,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.09032,0.028282329364614094,0.8304470993303285,0.028282329364614094,0.842704059738832,0.033404112817579525,1.1818181818181819,ARPE19,RF
7,8,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.09113999999999998,0.0328600432098436,0.8235551734580647,0.0328600432098436,0.8539492368419331,0.0278095906093078,0.2727272727272727,ARPE19,XGB
8,8,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.10265999999999999,0.02970828634026584,0.8200371617632974,0.02970828634026584,0.8258875010866273,0.030132396732366784,0.2727272727272727,ARPE19,LGBM
9,7,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.061399999999999996,0.0259156972892578,0.8872284321619955,0.0259156972892578,0.9063428868154889,0.025233025400045433,1.1818181818181819,N2a,RF
