Formula label,Ionizable_Lipid,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Helper_MW,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,wt_Helper,wt_Dlin,wt_Chol,wt_DMG,wt_pDNA,Size,Zeta,RLU_HepG2,RLU_N2a,RLU_ARPE19,RLU_HEK293,RLU_B16,RLU_PC3
1,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,777.1,200,20,500,0.17380167,27.93339781,67.48242471,0.875796734,3.534579078,#N/A,#N/A,2.303,6.161,3.892,9.46,4.078,2.079
2,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,777.1,200,20,500,0.176928509,28.43594326,68.6964906,0.891553058,1.799084572,#N/A,#N/A,1.609,6.073,3.807,8.621,3.611,2.251
3,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,777.1,200,20,500,0.177995941,28.60750097,69.11094539,0.896931912,1.206625788,#N/A,#N/A,2.015,4.543,2.565,8.584,2.708,1.609
4,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,777.1,200,40,500,0.303445302,48.76971747,44.18231015,0.573404455,6.171122619,#N/A,#N/A,2.565,5.056,2.944,9.102,3.861,2.14
5,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,777.1,200,40,500,0.313106392,50.32244744,45.58898627,0.591660502,3.183799392,#N/A,#N/A,2.803,5.303,3.045,11.098,4.856,1.705
6,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,777.1,200,40,500,0.316464928,50.86223125,46.0779966,0.598006949,2.14530028,#N/A,#N/A,1.872,4.533,2.944,9.509,3.951,2.197
7,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,777.1,200,60,500,0.403862938,64.90883604,26.1348182,0.339181476,8.213301347,#N/A,#N/A,2.639,4.86,2.565,9.866,2.015,2.526
8,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,777.1,200,60,500,0.421158444,67.68856911,27.2540467,0.353706986,4.282518759,#N/A,#N/A,2.89,4.564,2.398,10.057,2.303,1.253
9,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,777.1,200,60,500,0.427257572,68.66882083,27.6487341,0.358829297,2.8963582,#N/A,#N/A,2.197,5.872,1.609,10.787,2.565,1.504
10,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,777.1,200,80,500,0.483936236,77.77821354,11.74369852,0.152411429,9.841740278,#N/A,#N/A,1.253,3.466,0.693,4.29,1.609,1.609
11,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,777.1,200,80,500,0.508982609,81.80366569,12.35149978,0.160299563,5.175552349,#N/A,#N/A,1.792,4.419,1.792,9.986,1.386,1.792
12,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,777.1,200,80,500,0.517917642,83.23970384,12.56832656,0.163113572,3.510938384,#N/A,#N/A,1.099,5.476,1.609,2.674,1.386,1.253
13,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,777.1,100,20,500,0.345826166,27.79058413,67.47142768,0.875654013,3.516508013,#N/A,#N/A,1.705,5.756,5.497,5.283,3.638,1.609
14,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,777.1,100,20,500,0.352015492,28.28795829,68.67897857,0.891325784,1.789721863,#N/A,#N/A,2.251,5.58,5.497,7.526,2.14,0.693
15,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,777.1,100,20,500,0.354128128,28.45772969,69.09115843,0.896675114,1.200308637,#N/A,#N/A,1.253,4.779,5.094,8.227,2.303,1.099
16,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,777.1,100,40,500,0.603714399,48.51447769,44.16974097,0.57324133,6.13882561,#N/A,#N/A,2.251,4.625,3.219,9.761,1.253,1.504
17,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,777.1,100,40,500,0.622831674,50.05074156,45.56842401,0.591393642,3.16660911,#N/A,#N/A,2.351,4.754,4.06,9.668,2.251,1.504
18,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,777.1,100,40,500,0.629476023,50.58468127,46.0545465,0.59770261,2.133593597,#N/A,#N/A,2.079,4.522,4.174,9.741,1.705,1.386
