Formula label,Ionizable_Lipid,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,Helper_MW,NP_ratio,Dlin-MC3_Helper lipid_ratio,HL_(IL+HL),(IL+HL),Chol_DMG-PEG_ratio,PEG_(Chol+PEG),Size,Zeta,PDI,RLU_HepG2,RLU_N2a,RLU_ARPE19,RLU_HEK293,RLU_B16,RLU_PC3
1,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,200,0.497512438,20,500,0.199600798,440.1666667,-7.193333333,0.292666667,2.303,6.161,3.892,9.46,4.078,2.079
2,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,200,0.497512438,20,500,0.199600798,320.9666667,-5.036666667,0.187666667,1.609,6.073,3.807,8.621,3.611,2.251
3,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,200,0.497512438,20,500,0.199600798,205.6333333,-0.522666667,0.408666667,2.015,4.543,2.565,8.584,2.708,1.609
4,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,200,0.497512438,40,500,0.199600798,236.0666667,-4.42,0.359666667,2.565,5.056,2.944,9.102,3.861,2.14
5,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,200,0.497512438,40,500,0.199600798,188.6,-3.686666667,0.308666667,2.803,5.303,3.045,11.098,4.856,1.705
6,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,200,0.497512438,40,500,0.199600798,248.3,-2.553333333,0.374333333,1.872,4.533,2.944,9.509,3.951,2.197
7,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,200,0.497512438,60,500,0.199600798,221.0666667,-1.06,0.257,2.639,4.86,2.565,9.866,2.015,2.526
8,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,200,0.497512438,60,500,0.199600798,206.6333333,1.177333333,0.367333333,2.89,4.564,2.398,10.057,2.303,1.253
9,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,200,0.497512438,60,500,0.199600798,239.3,-0.068333333,0.301,2.197,5.872,1.609,10.787,2.565,1.504
10,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,200,0.497512438,80,500,0.199600798,228.7,-24.26666667,0.5935,1.253,3.466,0.693,4.29,1.609,1.609
11,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,200,0.497512438,80,500,0.199600798,195.4666667,-14.43333333,0.445,1.792,4.419,1.792,9.986,1.386,1.792
12,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,200,0.497512438,80,500,0.199600798,211.95,-1.853333333,0.466166667,1.099,5.476,1.609,2.674,1.386,1.253
13,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,100,0.99009901,20,500,0.199600798,395.5333333,-9.85,0.062333333,1.705,5.756,5.497,5.283,3.638,1.609
14,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,100,0.99009901,20,500,0.199600798,412.0666667,-4.376666667,0.177666667,2.251,5.58,5.497,7.526,2.14,0.693
15,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,100,0.99009901,20,500,0.199600798,288.7666667,-1.413,0.699333333,1.253,4.779,5.094,8.227,2.303,1.099
16,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,100,0.99009901,40,500,0.199600798,218.7666667,-4.306666667,0.298,2.251,4.625,3.219,9.761,1.253,1.504
17,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,100,0.99009901,40,500,0.199600798,221.7666667,-1.85,0.319666667,2.351,4.754,4.06,9.668,2.251,1.504
18,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,100,0.99009901,40,500,0.199600798,491.3333333,-4.253333333,0.671,2.079,4.522,4.174,9.741,1.705,1.386
19,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,100,0.99009901,60,500,0.199600798,227.4,0.728366667,0.285666667,1.946,4.934,2.398,8.985,1.609,1.386
20,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,100,0.99009901,60,500,0.199600798,217.1,-0.417,0.286333333,1.872,4.984,2.303,9.484,1.872,1.504
21,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,100,0.99009901,60,500,0.199600798,241.5666667,-2.663333333,0.296333333,2.251,4.898,1.946,9.968,0.916,1.504
22,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,100,0.99009901,80,500,0.199600798,188.8333333,-25.4,0.565833333,2.14,5.043,2.833,8.644,1.609,1.099
23,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,100,0.99009901,80,500,0.199600798,184.6,-17.4,0.429666667,1.504,5.165,1.946,9.956,1.253,1.386
24,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,100,0.99009901,80,500,0.199600798,285.2666667,-8.583333333,0.270666667,1.099,5.617,1.386,2.773,1.504,1.099
25,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,50,1.960784314,20,500,0.199600798,431.4,-6.4,0.301666667,1.253,4.844,5.447,4.63,2.251,0.693
26,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,50,1.960784314,20,500,0.199600798,265.1333333,-3.806666667,0.512666667,1.792,4.977,5.561,7.685,2.442,1.253
