,0,1,2,3,4,Train_size,Score_Type,Mean_MAE,sd,Percent_Error,Percent_SD
4,0.1303295784317237,0.1625443572134858,0.1577759048970901,0.13024529697937984,0.15654276082327892,4,Train,0.14748757966899168,0.015860688908170453,14.748757966899168,1.5860688908170453
21,0.13003580714682086,0.14666704906127231,0.13555637559072053,0.12559766705416534,0.15086335606149748,21,Train,0.1377440509828953,0.01076421908052522,13.77440509828953,1.0764219080525221
39,0.08924808763260957,0.09130085092632233,0.09672651792341566,0.08992505963724569,0.09322770697092145,39,Train,0.09208564461810294,0.003007397949132123,9.208564461810294,0.3007397949132123
56,0.07068808271902949,0.07988786348964691,0.0735262487947744,0.07983017131340127,0.07690428212783845,56,Train,0.0761673296889381,0.004024901709113128,7.61673296889381,0.4024901709113128
74,0.06444896742212575,0.06732588501473719,0.06634069388849725,0.0711585123129274,0.06658808029479937,74,Train,0.06717242778661739,0.002467939352839904,6.717242778661739,0.2467939352839904
92,0.058643802387273014,0.05976393511211162,0.05620355076951048,0.06752731226765415,0.06126023232240922,92,Train,0.06067976657179169,0.0042498890537383165,6.06797665717917,0.42498890537383166
109,0.055332784452894725,0.05781696525034363,0.05490613350085873,0.061851733949134555,0.055609344470306,109,Train,0.057103392324707535,0.002883188862545074,5.710339232470753,0.2883188862545074
127,0.05604406725572762,0.05106930455336173,0.05628166376116665,0.06016626986127717,0.053271831098085434,127,Train,0.05536662730592372,0.003434673901960501,5.536662730592372,0.3434673901960501
144,0.05083024607973256,0.051789803944624235,0.054471492971380986,0.057080722647663375,0.05049895783521861,144,Train,0.052934244695723956,0.002793903567088153,5.293424469572396,0.2793903567088153
162,0.050904378157751416,0.04841303506615506,0.05325363345360247,0.054419044314771146,0.05001400631056968,162,Train,0.05140081946056996,0.0024310060279111776,5.140081946056996,0.24310060279111775
179,0.04837610813664181,0.04736439350870906,0.05416431357318311,0.05208564368886982,0.049369654335105276,179,Train,0.050272022648501814,0.002797419236738451,5.027202264850182,0.2797419236738451
197,0.047385976272475795,0.04688560225456849,0.050425255090365016,0.05049261519462732,0.04830232438087608,197,Train,0.04869835463858255,0.0016857345772642645,4.869835463858255,0.16857345772642646
