Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
P_charged_centers,0.0,0.0,-0.007888284543435134
P_charged_centers,1.0,1.0,0.005005637161840677
N_charged_centers,1.0,1.0,0.0014296563623420603
N_charged_centers,0.0,0.0,-0.0018493556276743437
cLogP,8.8188,8.8188,-0.02294729336944952
cLogP,9.784,9.784,0.01750993984895563
cLogP,12.515,12.515,0.007550882353702496
cLogP,6.12,6.12,-0.0562793050428092
cLogP,11.8502,11.8502,0.009462534228398156
cLogP,12.73,12.73,0.045955160343961146
Hbond_D,3.0,3.0,0.007702337192557176
Hbond_D,2.0,2.0,0.013790776213197213
Hbond_D,0.0,0.0,-0.01376002029681436
Hbond_A,10.0,10.0,0.017066626076690083
Hbond_A,9.0,9.0,0.02348731734204832
Hbond_A,4.0,4.0,-0.009537477138083079
Hbond_A,8.0,8.0,-0.008903032151868138
Hbond_A,0.0,0.0,-0.0058999591057141846
Total_Carbon_Tails,36.0,36.0,0.005664615403083723
Total_Carbon_Tails,28.0,28.0,-0.031611504148283696
Double_bonds,2.0,2.0,0.003230062385258534
Double_bonds,0.0,0.0,-0.0040950425841702375
Size,"(284.0, 493.0)",388.5,-0.015634226991888336
Size,"(75.0, 284.0)",179.5,0.0010578002525833145
Size,"(1120.0, 1329.0)",1224.5,-0.021435049272313822
Size,"(911.0, 1120.0)",1015.5,-0.024138305643674765
Size,"(1747.0, 1956.0)",1851.5,-0.02026912332198372
Size,"(1538.0, 1747.0)",1642.5,-0.02469975938820494
Size,"(493.0, 702.0)",597.5,-0.014101878147469805
Size,"(702.0, 911.0)",806.5,-0.017020921818006365
Size,"(1329.0, 1538.0)",1433.5,-0.018364019799136218
PDI,0.292666667,0.292666667,-0.0018098592953000123
PDI,0.187666667,0.187666667,-0.003609617684010742
PDI,0.408666667,0.408666667,0.006238570045267781
PDI,0.359666667,0.359666667,0.0061308594593190895
PDI,0.308666667,0.308666667,-0.0002654762874502402
PDI,0.374333333,0.374333333,0.0033585344761518374
PDI,0.257,0.257,0.0029694862677978797
PDI,0.367333333,0.367333333,0.01565353401454257
PDI,0.301,0.301,0.0024291831899390767
PDI,0.5935,0.5935,-0.006061555571121807
PDI,0.445,0.445,0.005796073891433035
PDI,0.466166667,0.466166667,-0.015120890163930313
PDI,0.062333333,0.062333333,-0.00902948484076706
PDI,0.177666667,0.177666667,-0.008355866496518413
PDI,0.699333333,0.699333333,0.007946929884998993
PDI,0.298,0.298,-0.007468842424895035
PDI,0.319666667,0.319666667,-3.6560866328082774e-05
PDI,0.671,0.671,0.01396516122597291
PDI,0.285666667,0.285666667,-0.0015946175749977332
PDI,0.286333333,0.286333333,0.0016904786435014262
PDI,0.296333333,0.296333333,0.002128754718949643
PDI,0.565833333,0.565833333,0.009096989973965908
PDI,0.429666667,0.429666667,0.013219338513441483
PDI,0.270666667,0.270666667,-0.007888735029935428
PDI,0.301666667,0.301666667,-0.005213464379919311
PDI,0.512666667,0.512666667,0.010057425968648524
PDI,0.621666667,0.621666667,-0.002701592670928908
PDI,0.463333333,0.463333333,0.017017878841824177
PDI,0.442333333,0.442333333,0.020881238072774297
PDI,0.252,0.252,-0.003281234050065693
PDI,0.283333333,0.283333333,-0.0026408166336925614
PDI,0.240333333,0.240333333,-0.011867345398788346
PDI,0.281333333,0.281333333,0.0050732995104546446
PDI,0.537333333,0.537333333,0.021548249709538236
PDI,0.436166667,0.436166667,0.02688671439182299
PDI,0.323,0.323,-0.015369028154431608
PDI,0.320333333,0.320333333,-0.00542138786380109
PDI,0.568333333,0.568333333,0.016334381307301842
PDI,0.293,0.293,0.0017919956951735919
PDI,0.251,0.251,-0.007258827133252692
PDI,0.263,0.263,0.0034874016646610296
PDI,0.273666667,0.273666667,0.003202188717325044
PDI,0.252666667,0.252666667,0.002171137043190736
PDI,0.257333333,0.257333333,0.002298058885230104
PDI,0.268333333,0.268333333,0.008176919124316194
PDI,0.3755,0.3755,0.03276601496703476
PDI,0.288833333,0.288833333,0.013720069146782672
PDI,0.234333333,0.234333333,-0.011147782929488105
PDI,0.579,0.579,0.003393865669039088
PDI,0.492333333,0.492333333,0.007378690620409095
PDI,0.215333333,0.215333333,-0.0031630676814106903
PDI,0.760333333,0.760333333,0.027715484082117766
PDI,0.693666667,0.693666667,0.03292405766834353
PDI,0.461,0.461,0.024804343785877318
PDI,0.716333333,0.716333333,0.023234121513303608
PDI,0.147333333,0.147333333,-0.001204138096459981
PDI,0.683333333,0.683333333,0.03370410100749396
PDI,0.131333333,0.131333333,-0.005331432651902547
PDI,0.151833333,0.151833333,-0.009798658453584541
PDI,0.102,0.102,-0.00936276144196201
PDI,0.964,0.964,0.009266700682974973
PDI,0.518,0.518,-0.0007702368048059523
PDI,0.349333333,0.349333333,0.002103394310658268
PDI,0.609333333,0.609333333,0.012324959343299791
PDI,0.548,0.548,0.004532567992952578
PDI,0.46,0.46,0.007709655239288329
PDI,0.504666667,0.504666667,-0.00966158943145057
PDI,0.482666667,0.482666667,-0.00026677295921431483
PDI,0.325666667,0.325666667,-0.0002527728660865411
PDI,0.144666667,0.144666667,0.0032043992211490168
PDI,0.213666667,0.213666667,0.005079785715441423
PDI,0.112,0.112,0.006510615849858127
PDI,0.447,0.447,0.00348101155618699
PDI,0.669666667,0.669666667,0.008952973356588914
PDI,0.441,0.441,0.005201686069550454
PDI,0.641666667,0.641666667,0.013658366971968677
PDI,0.624,0.624,0.014854348731365291
PDI,0.565,0.565,-0.008384658297812816
PDI,0.412333333,0.412333333,0.003538101039256081
PDI,0.722666667,0.722666667,0.010351228659449686
PDI,0.080666667,0.080666667,0.006285086722357407
PDI,0.114666667,0.114666667,-0.0010788630307170086
PDI,0.3485,0.3485,-0.0004430126332348007
PDI,0.887666667,0.887666667,0.013787418089126377
PDI,0.453,0.453,0.005091216428730154
PDI,0.686333333,0.686333333,0.013077407077949221
PDI,0.627666667,0.627666667,0.0272904083631169
PDI,0.536333333,0.536333333,0.011498385052951633
PDI,0.343333333,0.343333333,0.013080383443895156
PDI,0.484333333,0.484333333,0.0028114753647302555
PDI,0.341333333,0.341333333,0.010166550588258098
PDI,0.295666667,0.295666667,-0.0023238458285341538
PDI,0.139,0.139,0.011612467791545837
PDI,0.146666667,0.146666667,-0.003083983310998484
PDI,0.148333333,0.148333333,-0.006083774244344444
PDI,0.88,0.88,0.010524932030095729
PDI,0.436333333,0.436333333,-0.001570988587035165
PDI,0.81,0.81,0.013475855528815707
PDI,0.343666667,0.343666667,0.010549371432738703
PDI,0.364666667,0.364666667,0.008535850935340289
PDI,0.267,0.267,-0.009946684120920495
PDI,0.353333333,0.353333333,0.010520455676434585
PDI,0.390666667,0.390666667,0.00044838356990592617
PDI,0.217333333,0.217333333,-0.0006047178399039996
PDI,0.153666667,0.153666667,-0.0020523064643500452
PDI,0.369,0.369,0.003195657179485703
PDI,0.277,0.277,-0.004116937116861346
PDI,0.221,0.221,-0.0031367494218878097
PDI,0.200333333,0.200333333,-0.003993387477017101
PDI,0.109,0.109,-0.015420489872346097
PDI,0.203333333,0.203333333,-0.003991875663842346
PDI,0.1,0.1,-0.021024326765068557
PDI,0.111,0.111,-0.02410888319846906
PDI,0.106333333,0.106333333,0.007808563905988513
PDI,0.209,0.209,-0.008201568417421305
PDI,0.061666667,0.061666667,-0.01089203315754453
PDI,0.201,0.201,-0.002476188496114669
PDI,0.132666667,0.132666667,0.0024155966801177827
PDI,0.290333333,0.290333333,-0.009648415180667374
PDI,0.238333333,0.238333333,-0.005020917703713364
PDI,0.428333333,0.428333333,-0.001086214801875648
PDI,0.599333333,0.599333333,0.0007233430638649871
PDI,0.307333333,0.307333333,-0.00904908141743657
PDI,0.435666667,0.435666667,0.0025400106192383217
PDI,0.400666667,0.400666667,0.0028494266199487906
PDI,0.504,0.504,-0.011818494496235697
PDI,0.356666667,0.356666667,0.0020281798656113215
PDI,0.331,0.331,-0.007004302406265094
PDI,0.313333333,0.313333333,-0.005830549141881646
PDI,0.258666667,0.258666667,0.00012223480443660862
PDI,0.286,0.286,-0.013293023885946323
PDI,0.231666667,0.231666667,-0.0013567155218089958
PDI,0.714,0.714,0.00281783318632944
PDI,0.704333333,0.704333333,0.010667695924799993
PDI,0.334,0.334,0.006556776980616537
PDI,0.396,0.396,0.004316308143359335
PDI,0.366333333,0.366333333,-0.0031133760635282033
PDI,0.477333333,0.477333333,-0.011984828290407054
PDI,0.330666667,0.330666667,3.75921747018156e-05
PDI,0.313,0.313,-0.003197487558417439
PDI,0.302666667,0.302666667,-0.005654623141346146
PDI,0.251333333,0.251333333,-0.0026719061769667892
PDI,0.095333333,0.095333333,0.0069097584186542564
PDI,1.0,1.0,0.008321415789598628
PDI,0.223666667,0.223666667,0.002171785143577714
PDI,0.3625,0.3625,0.0057227157832478665
PDI,0.315,0.315,-0.0010939506907137859
PDI,0.393333333,0.393333333,-0.0002093521069208068
PDI,0.289333333,0.289333333,-0.012136990963447423
PDI,0.339666667,0.339666667,0.004967932809183528
PDI,0.245,0.245,-0.0035637217494378383
PDI,0.241333333,0.241333333,-0.0066164938112721495
PDI,0.152666667,0.152666667,0.005469510549251131
PDI,0.956666667,0.956666667,0.0083848052410051
PDI,0.6,0.6,0.008247520211012683
PDI,0.341,0.341,0.004326563447335965
PDI,0.512,0.512,0.009831124364116758
PDI,0.328666667,0.328666667,-0.0042057620911076675
PDI,0.391333333,0.391333333,0.0009429557416505932
PDI,0.407666667,0.407666667,-0.0011145122340204512
PDI,0.306,0.306,-0.0024126888769236943
PDI,0.264333333,0.264333333,0.0007098632090236815
PDI,0.18,0.18,0.003933255959237336
PDI,0.61,0.61,0.0038961382200205707
PDI,0.205,0.205,-0.0007306100676052625
PDI,0.574666667,0.574666667,0.00743973982995185
PDI,0.133666667,0.133666667,-0.004568264023013793
PDI,0.154666667,0.154666667,-0.007573762432790605
PDI,0.546333333,0.546333333,0.027049394286505594
PDI,0.121,0.121,0.0037587416978533466
PDI,0.794,0.794,0.035869580718815575
PDI,0.392,0.392,0.00838477810651183
PDI,0.139666667,0.139666667,-0.0037227576925030923
PDI,0.434666667,0.434666667,0.022252860374731297
PDI,0.280666667,0.280666667,-0.005767774658043047
PDI,0.464333333,0.464333333,-0.008577207935016717
PDI,0.403333333,0.403333333,0.0010793478766671733
PDI,0.496333333,0.496333333,0.0013777306222430975
PDI,0.211,0.211,-0.003316017408559041
PDI,0.237333333,0.237333333,-0.012850010782168322
PDI,0.806666667,0.806666667,0.00651126251761718
PDI,0.246666667,0.246666667,-0.012796691216227592
PDI,0.215,0.215,-0.01245923058054392
PDI,0.260333333,0.260333333,-0.003459365131324178
PDI,0.219666667,0.219666667,-0.0032914641978563177
PDI,0.164666667,0.164666667,-0.008024440620072374
PDI,0.225333333,0.225333333,-0.0017721226218336322
PDI,0.344333333,0.344333333,0.004387386692883686
PDI,0.316,0.316,-0.001662402872897358
PDI,0.264,0.264,0.002115205519778125
PDI,0.182,0.182,0.0026369666511696383
PDI,0.242,0.242,-0.020820645132842236
PDI,0.328333333,0.328333333,0.004623355829589334
PDI,0.206666667,0.206666667,-0.0011292237873973738
PDI,0.193666667,0.193666667,-0.006978944428628931
PDI,0.484666667,0.484666667,0.008624672617636277
PDI,0.629666667,0.629666667,0.010860394996899269
PDI,0.162,0.162,-0.011105278838912
PDI,0.206,0.206,-0.018966839001861205
PDI,0.294,0.294,0.0021283419204340555
PDI,0.557666667,0.557666667,0.020441292714830056
PDI,0.220333333,0.220333333,-0.00679143871163198
PDI,0.233333333,0.233333333,-0.02149065880377372
PDI,0.427666667,0.427666667,0.012928137911095828
PDI,0.256333333,0.256333333,-0.006494786527734778
PDI,0.173666667,0.173666667,-0.006701391133716058
PDI,0.229333333,0.229333333,-0.008799019686348525
PDI,0.420666667,0.420666667,0.008229503405101927
PDI,0.358,0.358,0.007503256917778091
PDI,0.522,0.522,0.006869273888475962
PDI,0.262666667,0.262666667,-0.012631877286134916
PDI,0.327666667,0.327666667,-0.0038756202581542235
PDI,0.197333333,0.197333333,-0.0036696728909946397
PDI,0.275,0.275,0.0017540399850916925
PDI,0.266,0.266,-0.007580004028166615
PDI,0.208666667,0.208666667,-0.00982804549673601
PDI,0.237,0.237,-0.007755101685212183
PDI,0.327,0.327,-0.006102582085800655
PDI,0.569,0.569,0.00824418970305869
PDI,0.17,0.17,-0.007892874113040021
PDI,0.330333333,0.330333333,-0.007910836500895947
PDI,0.196,0.196,-0.007414496487645538
PDI,0.268,0.268,-0.0003369162652886786
PDI,0.254,0.254,0.004583274441490235
PDI,0.261666667,0.261666667,0.003048949460180807
PDI,0.183666667,0.183666667,-0.008917240860469697
PDI,0.187333333,0.187333333,-0.008072728128456002
PDI,0.31,0.31,-0.006493301668637723
PDI,0.485666667,0.485666667,0.0031126224723148125
PDI,0.368333333,0.368333333,0.0022127138093641216
PDI,0.275333333,0.275333333,-0.013537323143736329
PDI,0.236666667,0.236666667,-0.011031957950640402
PDI,0.303666667,0.303666667,-0.0042544366869380285
PDI,0.236333333,0.236333333,-0.006430460804227931
PDI,0.232,0.232,-0.007001326812171501
PDI,0.260666667,0.260666667,-0.002103409434933196
PDI,0.307666667,0.307666667,-0.010625517565098462
PDI,0.245666667,0.245666667,-0.0033729660890192714
PDI,0.184333333,0.184333333,0.0011189228825758332
PDI,0.24,0.24,-0.005365817761585287
