Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
P_charged_centers,0.0,0.0,-0.0007405126229641822
P_charged_centers,1.0,1.0,0.00039342829828807434
N_charged_centers,1.0,1.0,0.0
N_charged_centers,0.0,0.0,0.0
cLogP,8.8188,8.8188,0.00029384234040667924
cLogP,9.784,9.784,-0.0007530593888992199
cLogP,12.515,12.515,0.0003078044704173666
cLogP,6.12,6.12,-0.00037495807592544084
cLogP,11.8502,11.8502,-0.0002826085972340557
cLogP,12.73,12.73,-5.869467259990538e-05
Hbond_D,3.0,3.0,-0.005863672584391028
Hbond_D,2.0,2.0,0.003454813718875105
Hbond_D,0.0,0.0,0.0013757138910188882
Hbond_A,10.0,10.0,-0.028643467402776714
Hbond_A,9.0,9.0,-0.005814363487364643
Hbond_A,4.0,4.0,0.07228865907010747
Hbond_A,8.0,8.0,-0.07889742088620001
Hbond_A,0.0,0.0,0.11756021363690859
Total_Carbon_Tails,36.0,36.0,0.0032591913036271168
Total_Carbon_Tails,28.0,28.0,-0.008264263137953145
Size,"(284.0, 493.0)",388.5,-0.0003197817688671566
Size,"(75.0, 284.0)",179.5,3.977333676596978e-06
Size,"(1120.0, 1329.0)",1224.5,-0.015035343960278516
Size,"(911.0, 1120.0)",1015.5,-0.01737945776717724
Size,"(1747.0, 1956.0)",1851.5,-0.021252208077164932
Size,"(1538.0, 1747.0)",1642.5,-0.009621661768205825
Size,"(493.0, 702.0)",597.5,-0.0017789012906260467
Size,"(702.0, 911.0)",806.5,-0.021481486968766242
Size,"(1329.0, 1538.0)",1433.5,-0.005377045664488297
PDI,0.292666667,0.292666667,0.0017486491722535945
PDI,0.187666667,0.187666667,-0.0003176071238190698
PDI,0.408666667,0.408666667,0.011433064547859894
PDI,0.359666667,0.359666667,0.012362496933475117
PDI,0.308666667,0.308666667,0.0054580966906603145
PDI,0.374333333,0.374333333,0.005470954558994313
PDI,0.257,0.257,0.002615291553521462
PDI,0.367333333,0.367333333,0.01347467757114226
PDI,0.301,0.301,0.002279588102926064
PDI,0.5935,0.5935,0.004260471820660259
PDI,0.445,0.445,0.0029278055944198197
PDI,0.466166667,0.466166667,-0.002950011719058388
PDI,0.062333333,0.062333333,-0.0038219238692519092
PDI,0.177666667,0.177666667,-0.00244135649187087
PDI,0.699333333,0.699333333,-0.005878670151280646
PDI,0.298,0.298,0.011893127970255166
PDI,0.319666667,0.319666667,0.00169417850806483
PDI,0.671,0.671,-0.01296570661383329
PDI,0.285666667,0.285666667,0.0045645897629851126
PDI,0.286333333,0.286333333,0.0011036058268413967
PDI,0.296333333,0.296333333,0.0035298526161329446
PDI,0.565833333,0.565833333,0.004261887464041841
PDI,0.429666667,0.429666667,0.002927753559373297
PDI,0.270666667,0.270666667,-0.00019980636706121025
PDI,0.301666667,0.301666667,-6.178402042822434e-05
PDI,0.512666667,0.512666667,-0.00605953165569256
PDI,0.621666667,0.621666667,0.007302323730575237
PDI,0.463333333,0.463333333,-0.009797564839046554
PDI,0.442333333,0.442333333,-0.002729301769702373
PDI,0.252,0.252,0.0004949776429130651
PDI,0.283333333,0.283333333,0.001685445848788022
PDI,0.240333333,0.240333333,0.004495618286699941
PDI,0.281333333,0.281333333,0.002001778076974782
PDI,0.537333333,0.537333333,0.0040372185528229415
PDI,0.436166667,0.436166667,0.009558229597345605
PDI,0.323,0.323,0.00094751083035006
PDI,0.320333333,0.320333333,0.0031164830530805883
PDI,0.568333333,0.568333333,0.0023812892257786163
PDI,0.293,0.293,0.015538322586854782
PDI,0.251,0.251,0.003489963241548027
PDI,0.263,0.263,0.006229157825201188
PDI,0.273666667,0.273666667,0.005853098412609077
PDI,0.252666667,0.252666667,0.006597015378878734
PDI,0.257333333,0.257333333,0.005891171662394213
PDI,0.268333333,0.268333333,0.006384469782180258
PDI,0.3755,0.3755,0.002814501263016847
PDI,0.288833333,0.288833333,0.010586021915543843
PDI,0.234333333,0.234333333,0.001803253407935217
PDI,0.579,0.579,0.0014016219062810064
PDI,0.492333333,0.492333333,0.00012634695108941442
PDI,0.215333333,0.215333333,0.0018035690806301498
PDI,0.760333333,0.760333333,0.0007998739825022418
PDI,0.693666667,0.693666667,0.0005535713686477076
PDI,0.461,0.461,-0.002200640799659084
PDI,0.716333333,0.716333333,0.0010190601919931278
PDI,0.147333333,0.147333333,-0.0027344413129529667
PDI,0.683333333,0.683333333,-0.0029209174279406073
PDI,0.131333333,0.131333333,-0.007659677073005493
PDI,0.151833333,0.151833333,-0.007320036441219057
PDI,0.102,0.102,-0.008802164714617257
PDI,0.964,0.964,0.0013302165412384596
PDI,0.518,0.518,0.0021870665558730382
PDI,0.349333333,0.349333333,0.0076606341045797315
PDI,0.609333333,0.609333333,0.028678920047894733
PDI,0.548,0.548,0.027597374453220934
PDI,0.46,0.46,0.03520566826516172
PDI,0.504666667,0.504666667,0.026489743921298242
PDI,0.482666667,0.482666667,0.025479358850219548
PDI,0.325666667,0.325666667,-0.005785786976430559
PDI,0.144666667,0.144666667,-0.021582052734098408
PDI,0.213666667,0.213666667,-0.0044303109220096525
PDI,0.112,0.112,-0.029586992984015934
PDI,0.447,0.447,0.004872488308319288
PDI,0.669666667,0.669666667,-0.010787845515109036
PDI,0.441,0.441,0.028466716217269844
PDI,0.641666667,0.641666667,0.027629514738303114
PDI,0.624,0.624,0.01668836817006163
PDI,0.565,0.565,0.02677492377065356
PDI,0.412333333,0.412333333,-0.01416581158498197
PDI,0.722666667,0.722666667,0.028350188776445934
PDI,0.080666667,0.080666667,-0.04377948157882414
PDI,0.114666667,0.114666667,-0.03464144516736583
PDI,0.3485,0.3485,-0.005183425557200759
PDI,0.887666667,0.887666667,0.0005420714987723581
PDI,0.453,0.453,0.0019706648330512257
PDI,0.686333333,0.686333333,-0.008991266965120873
PDI,0.627666667,0.627666667,0.028009091309800047
PDI,0.536333333,0.536333333,0.027218698099194787
PDI,0.343333333,0.343333333,-0.011727224320592396
PDI,0.484333333,0.484333333,0.025820485260865556
PDI,0.341333333,0.341333333,-0.014429033680859378
PDI,0.295666667,0.295666667,-0.0058382555110882495
PDI,0.139,0.139,-0.03337612587154771
PDI,0.146666667,0.146666667,-0.04340118828047256
PDI,0.148333333,0.148333333,-0.007592892210912185
PDI,0.88,0.88,0.004055151991051553
PDI,0.436333333,0.436333333,0.0034851372360220757
PDI,0.81,0.81,-0.006553761542857044
PDI,0.343666667,0.343666667,-0.005846938413168208
PDI,0.364666667,0.364666667,-0.007291262199097478
PDI,0.267,0.267,-0.0035225695989530826
PDI,0.353333333,0.353333333,-0.020500427023730082
PDI,0.390666667,0.390666667,-0.005102682389918456
PDI,0.217333333,0.217333333,0.0005734161881718387
PDI,0.153666667,0.153666667,-0.0456656572988773
PDI,0.369,0.369,-0.0077682143374035294
PDI,0.277,0.277,-0.008331142707190198
PDI,0.221,0.221,-7.167986982922135e-05
PDI,0.200333333,0.200333333,0.0013050338562805783
PDI,0.109,0.109,-0.0059563518362356896
PDI,0.203333333,0.203333333,-0.0005920690495746403
PDI,0.1,0.1,-0.013001006911057527
PDI,0.111,0.111,-0.010879265046099006
PDI,0.106333333,0.106333333,-0.010127648529271924
PDI,0.209,0.209,-0.0019909230992908923
PDI,0.061666667,0.061666667,-0.011113131239298838
PDI,0.201,0.201,-0.00085616138117948
PDI,0.132666667,0.132666667,-0.008691278667287895
PDI,0.290333333,0.290333333,-0.0029836889116343335
PDI,0.238333333,0.238333333,0.001923673316990053
PDI,0.428333333,0.428333333,0.0004365737139173426
PDI,0.599333333,0.599333333,-0.0001709872457558705
PDI,0.307333333,0.307333333,0.00020314133882951395
PDI,0.435666667,0.435666667,0.0024578214078580084
PDI,0.400666667,0.400666667,0.000844847689712844
PDI,0.504,0.504,0.0009421680052193667
PDI,0.356666667,0.356666667,-0.0008302902555302675
PDI,0.331,0.331,0.007876423864193497
PDI,0.313333333,0.313333333,0.0016223383582372388
PDI,0.258666667,0.258666667,0.0027940651737710085
PDI,0.286,0.286,0.00926398809473752
PDI,0.231666667,0.231666667,0.0006319078230500418
PDI,0.714,0.714,0.0015191614161832493
