,0,1,2,3,4,Train_size,Score_Type,Mean_MAE,sd,Percent_Error,Percent_SD
2,0.1133139404788543,0.12642649362273436,0.09958603714477512,0.0965428507496084,0.10345714925039158,2,Train,0.10786529424927276,0.012148883027393424,10.786529424927275,1.2148883027393425
14,0.0633713213827385,0.06903628106094459,0.07354981137962702,0.07037443885267645,0.07082684745862547,14,Train,0.0694317400269224,0.0037642588720949335,6.94317400269224,0.3764258872094933
26,0.020379340708408744,0.024223695025709986,0.018189245016253026,0.020281616201358148,0.02231318770741548,26,Train,0.021077416931829074,0.002285188257237979,2.1077416931829074,0.2285188257237979
37,0.007933836629220476,0.008378180080504123,0.01005945122840779,0.012667683372246694,0.008490959959271507,37,Train,0.009506022253930118,0.0019414254895311948,0.9506022253930118,0.19414254895311947
49,0.006369024898858604,0.005630999795940174,0.00871324133991182,0.007893560444760882,0.006255018964180167,49,Train,0.0069723690887303295,0.001280343381835863,0.6972369088730329,0.1280343381835863
61,0.0021776860510010344,0.002050928520448911,0.0032130074370461414,0.002261537556664267,0.0023848576744874483,61,Train,0.00241760344792956,0.0004610062943684235,0.24176034479295602,0.04610062943684235
73,0.0018181640966734055,0.001999185620230319,0.0023437533421395216,0.0022800250349273065,0.0022351664972671,73,Train,0.0021352589182475302,0.00021992825306253532,0.213525891824753,0.021992825306253534
84,0.0017604570841954503,0.0021696597457908132,0.0021803002563130502,0.0023778265289726907,0.002098591941616536,84,Train,0.0021173671113777085,0.00022487301030917086,0.21173671113777084,0.022487301030917086
96,0.0016316873054112615,0.0016935329099231106,0.0017235788241600318,0.0017862822336150545,0.0015686926555563744,96,Train,0.0016807547857331667,8.381342318859894e-05,0.16807547857331667,0.008381342318859895
108,0.0014587163375037874,0.0015297045060620447,0.0017548500838669898,0.0017586870565511285,0.00187422777587792,108,Train,0.0016752371519723741,0.00017389679987364623,0.1675237151972374,0.017389679987364622
119,0.0014878654764812576,0.0015074050056230516,0.0017197268438078831,0.0016752630804237778,0.0016272839073770261,119,Train,0.0016035088627425992,0.00010226177654009091,0.16035088627425992,0.010226177654009091
131,0.001255154740028947,0.0012134826428603976,0.0011951679793594453,0.0011892745205735963,0.0013260868904936703,131,Train,0.0012358333546632113,5.6656792974947154e-05,0.12358333546632114,0.005665679297494715
143,0.0012737838136827949,0.001250530612789991,0.001385953047355159,0.001205595114978752,0.0015036732309639887,143,Train,0.0013239071639541372,0.00012047794396810332,0.13239071639541372,0.012047794396810332
154,0.0013503568422259383,0.001223635052963938,0.0013734310086496286,0.0011808204627439184,0.0012802933343409228,154,Train,0.0012817073401848694,8.16678294717423e-05,0.12817073401848694,0.00816678294717423
166,0.0011883741588666263,0.0011943756557585082,0.001199521305785853,0.0011007566671520773,0.0010011755136797667,166,Train,0.0011368406602485664,8.602605283348609e-05,0.11368406602485664,0.00860260528334861
178,0.00103129662566926,0.0010824231351590822,0.00106321020699231,0.0010805045156778762,0.0011706400409479641,178,Train,0.0010856149048892986,5.176394299843022e-05,0.10856149048892987,0.005176394299843022
190,0.0009749194950900303,0.0008605362799366774,0.0009627087210343436,0.0009939434884746648,0.0009827577741399669,190,Train,0.0009549731517351365,5.4006228317815274e-05,0.09549731517351365,0.005400622831781527
201,0.0009728901930919891,0.0010163427709022686,0.001008009611235431,0.000958858162408856,0.0010406009997546539,201,Train,0.0009993403474786396,3.318545591710772e-05,0.09993403474786397,0.003318545591710772
213,0.0009786468502676088,0.0010743567379977324,0.0011181465992688468,0.000972549212554064,0.0009985558016047961,213,Train,0.0010284510403386097,6.452097210715967e-05,0.10284510403386098,0.006452097210715968
225,0.0008553895419554763,0.0010358907234749542,0.0010044345878952993,0.0009897057732374392,0.0009826884180101551,225,Train,0.0009736218089146648,6.918564036012384e-05,0.09736218089146648,0.0069185640360123835
236,0.0008890797587368075,0.0010157019897290885,0.0010263254387858046,0.0009565513733839467,0.001013779788963621,236,Train,0.0009802876699198538,5.783093264716192e-05,0.09802876699198537,0.005783093264716192
248,0.0010067138186692342,0.0009806446961544315,0.0010622743026635852,0.0010183546351468218,0.0010984497077360805,248,Train,0.0010332874320740306,4.6868869824730254e-05,0.10332874320740305,0.004686886982473025
260,0.0009530212588403305,0.0009673420619406506,0.0009905793748912106,0.0009707639780121311,0.0009010099669827333,260,Train,0.0009565433281334112,3.381438742055201e-05,0.09565433281334113,0.003381438742055201
271,0.001061363576730876,0.0009446045450720196,0.0010275312524994603,0.0008326794824965886,0.0009138051776541768,271,Train,0.0009559968068906242,9.129130955053363e-05,0.09559968068906241,0.009129130955053364
283,0.0009801050381915847,0.0010823552748886905,0.0010196949341398527,0.000935110746425751,0.0009979157739141166,283,Train,0.001003036353511999,5.416399461975254e-05,0.1003036353511999,0.005416399461975255
295,0.0009262283556681711,0.0008795493638561042,0.0010195508606993132,0.000973002825601836,0.0009534001349253519,295,Train,0.0009503463081501554,5.221541124955016e-05,0.09503463081501554,0.0052215411249550165
306,0.0009324041512112092,0.0009055446012876467,0.000979769756623348,0.0009155314220677688,0.0009687994248068338,306,Train,0.0009404098711993613,3.261051657195715e-05,0.09404098711993612,0.0032610516571957146
318,0.000995067129484324,0.0009659924981378739,0.0010779826218372767,0.0009817110512116791,0.0009853508928913263,318,Train,0.0010012208387124959,4.4169453398520256e-05,0.10012208387124959,0.004416945339852025
330,0.0009220599365258059,0.0009894222711034917,0.0009305276275042091,0.0009707849350420273,0.0009270409462656113,330,Train,0.0009479671432882291,3.0217565411283984e-05,0.09479671432882292,0.0030217565411283986
342,0.0010427277913259488,0.0009705731923412633,0.0009525069351528399,0.001016062192785656,0.0008959003746871749,342,Train,0.0009755540972585765,5.712684918734176e-05,0.09755540972585765,0.0057126849187341755
353,0.0010036820532968748,0.0009875198612815978,0.0009938327687734623,0.001045289585701278,0.000974520211212385,353,Train,0.0010009688960531196,2.6939833572979346e-05,0.10009688960531196,0.0026939833572979348
