Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
P_charged_centers,0.0,0.0,-0.07364090942556549
P_charged_centers,1.0,1.0,0.02655800335866783
N_charged_centers,1.0,1.0,-0.0016159527983479855
N_charged_centers,0.0,0.0,0.0060197337074893425
cLogP,8.8188,8.8188,-0.02397046789773096
cLogP,9.784,9.784,0.022775345483169958
cLogP,12.515,12.515,0.022455367155050452
cLogP,6.12,6.12,-0.03843580777085272
Hbond_D,3.0,3.0,0.0029103297765316776
Hbond_D,2.0,2.0,0.006594590478088381
Hbond_D,0.0,0.0,-0.00306179453289501
Hbond_A,10.0,10.0,-7.45768015954541e-05
Hbond_A,9.0,9.0,0.00011993189238811756
Hbond_A,4.0,4.0,0.00024120117985698686
Hbond_A,8.0,8.0,1.8860811880405514e-05
Double_bonds,2.0,2.0,0.00012479630287653355
Double_bonds,0.0,0.0,-0.00011024481834554512
Size,"(284.0, 493.0)",388.5,-0.0033291050440932453
Size,"(75.0, 284.0)",179.5,0.0031392856730065805
Size,"(1120.0, 1329.0)",1224.5,-0.004610475215304582
Size,"(911.0, 1120.0)",1015.5,-0.025622166969759396
Size,"(1747.0, 1956.0)",1851.5,-0.0021637997535288354
Size,"(1538.0, 1747.0)",1642.5,-0.007798148453392665
Size,"(493.0, 702.0)",597.5,0.00259772102911409
Size,"(702.0, 911.0)",806.5,-0.005550932244622379
Size,"(1329.0, 1538.0)",1433.5,0.008013844593325404
PDI,0.292666667,0.292666667,0.01223881541895014
PDI,0.187666667,0.187666667,0.01191451112330067
PDI,0.408666667,0.408666667,-0.0032036648418739505
PDI,0.359666667,0.359666667,-0.007368918412642897
PDI,0.308666667,0.308666667,0.0061743906342506955
PDI,0.374333333,0.374333333,-0.010307845904691667
PDI,0.257,0.257,0.008913247865856632
PDI,0.367333333,0.367333333,-0.003221211031116514
PDI,0.301,0.301,0.007152346747097273
PDI,0.5935,0.5935,-0.01789105424701614
PDI,0.445,0.445,0.005334206633426951
PDI,0.466166667,0.466166667,0.013289087193969073
PDI,0.062333333,0.062333333,-0.004403793078255843
PDI,0.177666667,0.177666667,0.006852810936319079
PDI,0.699333333,0.699333333,-0.0037514567693622105
PDI,0.298,0.298,-0.025037949373741073
PDI,0.319666667,0.319666667,-0.005287422283437434
PDI,0.671,0.671,-0.02332585516990974
PDI,0.285666667,0.285666667,-0.004945331935996567
PDI,0.286333333,0.286333333,0.005795975668648025
PDI,0.296333333,0.296333333,-0.0025033493109187168
PDI,0.565833333,0.565833333,-0.012651657367584973
PDI,0.429666667,0.429666667,0.0008794249513112447
PDI,0.270666667,0.270666667,0.012314091620181761
PDI,0.301666667,0.301666667,-0.010332917696239707
PDI,0.512666667,0.512666667,-0.010759956426988522
PDI,0.621666667,0.621666667,-0.03316577277274032
PDI,0.463333333,0.463333333,0.019868258974370553
PDI,0.442333333,0.442333333,0.007540372890721267
PDI,0.252,0.252,0.01070305380289327
PDI,0.283333333,0.283333333,-0.010670244683824631
PDI,0.240333333,0.240333333,0.0013773896452611758
PDI,0.281333333,0.281333333,0.00429148040355771
PDI,0.537333333,0.537333333,-0.027757796158607042
PDI,0.436166667,0.436166667,0.006797400513760311
PDI,0.323,0.323,-0.0024997653249538157
PDI,0.320333333,0.320333333,-0.005673141495916882
PDI,0.568333333,0.568333333,-0.001442151200926776
PDI,0.293,0.293,-0.0043587755465651756
PDI,0.251,0.251,0.0020825175554534683
PDI,0.263,0.263,0.015081557242759175
PDI,0.273666667,0.273666667,0.014460789602064018
PDI,0.252666667,0.252666667,0.005112212636049589
PDI,0.257333333,0.257333333,0.006569875734128709
PDI,0.268333333,0.268333333,0.01500643023242509
PDI,0.3755,0.3755,-0.009731653122645716
PDI,0.288833333,0.288833333,0.005231257918891615
PDI,0.234333333,0.234333333,0.02043292240230903
PDI,0.579,0.579,-0.014248730798503159
PDI,0.492333333,0.492333333,0.006481369648292675
PDI,0.215333333,0.215333333,-0.00029238081344633684
PDI,0.760333333,0.760333333,-0.014979034335613773
PDI,0.693666667,0.693666667,-0.028630282669437908
PDI,0.461,0.461,0.03569689783405383
PDI,0.716333333,0.716333333,-0.02126944359900993
PDI,0.147333333,0.147333333,-0.005905582074331439
PDI,0.683333333,0.683333333,-0.027833205817208686
PDI,0.131333333,0.131333333,-0.006609834130487777
PDI,0.151833333,0.151833333,-0.010016710119597368
PDI,0.102,0.102,-0.02146001751977746
PDI,0.964,0.964,0.008870025143487932
PDI,0.518,0.518,0.0059950272769266014
PDI,0.349333333,0.349333333,-0.0149099864698548
PDI,0.609333333,0.609333333,0.012447276670525696
PDI,0.548,0.548,-0.02834550504807545
PDI,0.46,0.46,0.006145151275191374
PDI,0.504666667,0.504666667,0.02346602165486566
PDI,0.482666667,0.482666667,0.010360984854780621
PDI,0.325666667,0.325666667,0.0004004165489373149
