Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
P_charged_centers,0.0,0.0,-0.010368250104353296
P_charged_centers,1.0,1.0,0.0030949826823148297
N_charged_centers,1.0,1.0,-0.1046167834150738
N_charged_centers,0.0,0.0,0.12277169513684356
cLogP,8.8188,8.8188,-0.02699936714254753
cLogP,9.784,9.784,-0.007906493368390062
cLogP,12.515,12.515,-0.019338190197917045
cLogP,6.12,6.12,-0.024026812894185064
cLogP,11.8502,11.8502,-0.004888404759993316
cLogP,12.73,12.73,0.06972804388393838
Double_bonds,2.0,2.0,0.00042274497213397343
Double_bonds,0.0,0.0,-0.0005560357845590393
NP_ratio,4.0,4.0,-0.02225061510529408
NP_ratio,8.0,8.0,-0.010478791570178574
NP_ratio,12.0,12.0,0.019867913891599764
PEG_(Chol+PEG),0.199600798,0.199600798,-0.010260003575058798
PEG_(Chol+PEG),0.99009901,0.99009901,0.03315738932991884
PEG_(Chol+PEG),9.090909091,9.090909091,-0.037007028847435126
(IL+HL),20.0,20.0,-0.04904818925982114
(IL+HL),40.0,40.0,-0.0112384979962593
(IL+HL),60.0,60.0,0.028119226184918345
(IL+HL),80.0,80.0,0.025211849263566666
HL_(IL+HL),0.497512438,0.497512438,-0.056753209127265974
HL_(IL+HL),0.99009901,0.99009901,-0.06928442426389855
HL_(IL+HL),1.960784314,1.960784314,-0.05596318952858817
HL_(IL+HL),9.090909091,9.090909091,0.049091849632847004
HL_(IL+HL),50.0,50.0,0.1597861319159172
