Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
P_charged_centers,0.0,0.0,-0.07572204518122755
P_charged_centers,1.0,1.0,0.017522105564098195
N_charged_centers,1.0,1.0,-0.0027634596305854517
N_charged_centers,0.0,0.0,0.013967088520600376
cLogP,9.3028,9.3028,-0.06339919540704528
cLogP,9.784,9.784,0.05828933198224464
cLogP,12.515,12.515,0.04988977221870028
cLogP,6.12,6.12,-0.04528498168115972
Hbond_D,3.0,3.0,0.0032695437364883865
Hbond_D,2.0,2.0,0.007600159884620668
Hbond_D,0.0,0.0,-0.0035831623603234503
NP_ratio,4.0,4.0,0.003187506008719794
NP_ratio,8.0,8.0,0.010735808249048283
NP_ratio,12.0,12.0,0.0017740828758231236
Chol_DMG-PEG_ratio,500.0,500.0,0.07254322266539374
Chol_DMG-PEG_ratio,100.0,100.0,0.15256460883840234
Chol_DMG-PEG_ratio,10.0,10.0,-0.18601952959447063
Dlin-MC3+Helper lipid percentage,20.0,20.0,0.08087448461171304
Dlin-MC3+Helper lipid percentage,40.0,40.0,0.06330998048477474
Dlin-MC3+Helper lipid percentage,60.0,60.0,-0.013752528190511695
Dlin-MC3+Helper lipid percentage,80.0,80.0,-0.0844695362396415
Dlin-MC3_Helper lipid_ratio,200.0,200.0,-0.013984721761672477
Dlin-MC3_Helper lipid_ratio,100.0,100.0,-0.05443128370280352
Dlin-MC3_Helper lipid_ratio,50.0,50.0,-0.025093430003282676
Dlin-MC3_Helper lipid_ratio,10.0,10.0,0.02569498075025113
Dlin-MC3_Helper lipid_ratio,1.0,1.0,0.07875147174842644
