group1,group2,meandiff,p-adj,lower,upper,reject
DT,LGBM,-1.5453,0.0002,-2.5904,-0.5002,True
DT,MLR,3.3229,0.0,2.2778,4.368,True
DT,PLS,3.3572,0.0,2.3121,4.4023,True
DT,RF,-1.0926,0.033,-2.1377,-0.0475,True
DT,XGB,-1.0064,0.0689,-2.0515,0.0388,False
DT,kNN,3.2856,0.0,2.2404,4.3307,True
DT,lasso,3.548,0.0,2.5028,4.5931,True
LGBM,MLR,4.8682,0.0,3.8231,5.9133,True
LGBM,PLS,4.9025,0.0,3.8574,5.9476,True
LGBM,RF,0.4527,0.8942,-0.5924,1.4978,False
LGBM,XGB,0.539,0.7723,-0.5062,1.5841,False
LGBM,kNN,4.8309,0.0,3.7858,5.876,True
LGBM,lasso,5.0933,0.0,4.0482,6.1384,True
MLR,PLS,0.0343,1.0,-1.0108,1.0794,False
MLR,RF,-4.4155,0.0,-5.4606,-3.3704,True
MLR,XGB,-4.3292,0.0,-5.3744,-3.2841,True
MLR,kNN,-0.0373,1.0,-1.0824,1.0078,False
MLR,lasso,0.2251,0.9981,-0.82,1.2702,False
PLS,RF,-4.4498,0.0,-5.4949,-3.4047,True
PLS,XGB,-4.3635,0.0,-5.4087,-3.3184,True
PLS,kNN,-0.0716,1.0,-1.1167,0.9735,False
PLS,lasso,0.1908,0.9993,-0.8544,1.2359,False
RF,XGB,0.0863,1.0,-0.9589,1.1314,False
RF,kNN,4.3782,0.0,3.3331,5.4233,True
RF,lasso,4.6406,0.0,3.5955,5.6857,True
XGB,kNN,4.2919,0.0,3.2468,5.337,True
XGB,lasso,4.5543,0.0,3.5092,5.5994,True
kNN,lasso,0.2624,0.995,-0.7827,1.3075,False
