group1,group2,meandiff,p-adj,lower,upper,reject
DT,LGBM,-0.5356,0.9258,-1.8649,0.7938,False
DT,MLR,4.9855,0.0,3.6561,6.3148,True
DT,PLS,4.9715,0.0,3.6421,6.3009,True
DT,RF,-0.291,0.9979,-1.6204,1.0384,False
DT,XGB,-0.3793,0.989,-1.7087,0.9501,False
DT,kNN,3.2703,0.0,1.941,4.5997,True
DT,lasso,4.8853,0.0,3.5559,6.2147,True
LGBM,MLR,5.521,0.0,4.1916,6.8504,True
LGBM,PLS,5.507,0.0,4.1777,6.8364,True
LGBM,RF,0.2446,0.9993,-1.0848,1.5739,False
LGBM,XGB,0.1563,1.0,-1.1731,1.4857,False
LGBM,kNN,3.8059,0.0,2.4765,5.1353,True
LGBM,lasso,5.4209,0.0,4.0915,6.7502,True
MLR,PLS,-0.014,1.0,-1.3434,1.3154,False
MLR,RF,-5.2765,0.0,-6.6059,-3.9471,True
MLR,XGB,-5.3647,0.0,-6.6941,-4.0354,True
MLR,kNN,-1.7151,0.0024,-3.0445,-0.3857,True
MLR,lasso,-0.1002,1.0,-1.4296,1.2292,False
PLS,RF,-5.2625,0.0,-6.5919,-3.9331,True
PLS,XGB,-5.3507,0.0,-6.6801,-4.0214,True
PLS,kNN,-1.7011,0.0027,-3.0305,-0.3717,True
PLS,lasso,-0.0862,1.0,-1.4156,1.2432,False
RF,XGB,-0.0883,1.0,-1.4177,1.2411,False
RF,kNN,3.5614,0.0,2.232,4.8907,True
RF,lasso,5.1763,0.0,3.8469,6.5057,True
XGB,kNN,3.6496,0.0,2.3202,4.979,True
XGB,lasso,5.2646,0.0,3.9352,6.594,True
kNN,lasso,1.6149,0.0057,0.2856,2.9443,True
