,0,1,2,3,4,Train_size,Score_Type,Mean_MAE,sd,Percent_Error,Percent_SD
2,0.1200284427589476,0.1279924152642806,0.10548708224697793,0.10226356956624794,0.10366200521450582,2,Train,0.11188670301019199,0.011477013879612228,11.188670301019199,1.1477013879612228
14,0.01132481626068386,0.009871933580484544,0.013591120377458119,0.010243591246952217,0.009362666653685422,14,Train,0.010878825623852832,0.0016786559208180132,1.0878825623852832,0.16786559208180132
26,0.0063977629972015535,0.007054286412647169,0.006626671160820346,0.006850272278884964,0.0058606947359953684,26,Train,0.00655793751710988,0.00046052945765310725,0.655793751710988,0.04605294576531072
37,0.00577334898074734,0.006074735509406112,0.006010153854286207,0.006919997793302153,0.00605235737815748,37,Train,0.006166118703179858,0.0004382406013392908,0.6166118703179858,0.04382406013392908
49,0.006006801534997068,0.005896160015230787,0.006145689226637236,0.006261288212752719,0.0065898493947807125,49,Train,0.006179957676879705,0.000267546428391562,0.6179957676879705,0.026754642839156198
61,0.005910931743549147,0.006311827456122994,0.006828445419837537,0.006494291699983069,0.006218129075112318,61,Train,0.006352725078921012,0.00033960307784657186,0.6352725078921012,0.03396030778465719
73,0.00584699589578849,0.006635251493997092,0.006844885052439731,0.006704116489445924,0.006398676641201593,73,Train,0.0064859851145745665,0.0003919824311676342,0.6485985114574566,0.03919824311676342
84,0.006591984414520052,0.007584794989649518,0.007075661706033405,0.007412966771782559,0.0065042948666308355,84,Train,0.007033940549723274,0.00048080451353462486,0.7033940549723273,0.048080451353462485
96,0.007137963510821554,0.007549630279968274,0.007168333056413005,0.0071675524352440845,0.0071359931882932935,96,Train,0.007231894494148042,0.00017829475356489932,0.7231894494148042,0.017829475356489932
108,0.007289478454223323,0.007597140149787823,0.00798192831777729,0.007742763894150495,0.007641623101363111,108,Train,0.0076505867834604085,0.0002508086660139107,0.7650586783460409,0.02508086660139107
119,0.008157263410544718,0.008431159198983079,0.008248009768166458,0.007977174034094056,0.007541101551504158,119,Train,0.008070941592658493,0.0003384095681185296,0.8070941592658494,0.03384095681185296
131,0.008385676334124518,0.009056777449699498,0.008273149381428587,0.007997008164326826,0.008052047490953219,131,Train,0.00835293176410653,0.00042427854626719206,0.835293176410653,0.042427854626719205
