Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
P_charged_centers,0.0,0.0,-0.06616314532976178
P_charged_centers,1.0,1.0,0.016133507826023373
N_charged_centers,1.0,1.0,-0.0005549585922718315
N_charged_centers,0.0,0.0,0.0059281580273950535
cLogP,9.3028,9.3028,-0.026261950149518685
cLogP,9.784,9.784,0.032981533588513
cLogP,12.515,12.515,0.028944721617089286
cLogP,6.12,6.12,-0.035734083146477115
Hbond_D,3.0,3.0,0.0028476764256919447
Hbond_D,2.0,2.0,0.00560978745156986
Hbond_D,0.0,0.0,-0.004957890176984409
NP_ratio,4.0,4.0,0.014098727050867569
NP_ratio,8.0,8.0,-0.004757182523941745
NP_ratio,12.0,12.0,-0.00650608604655427
Chol_DMG-PEG_ratio,500.0,500.0,0.08722747570649621
Chol_DMG-PEG_ratio,100.0,100.0,0.04951881546120908
Chol_DMG-PEG_ratio,10.0,10.0,-0.11613520852597733
Dlin-MC3+Helper lipid percentage,20.0,20.0,-0.02009945463098281
Dlin-MC3+Helper lipid percentage,40.0,40.0,0.01803292247876648
Dlin-MC3+Helper lipid percentage,60.0,60.0,0.031258751956348876
Dlin-MC3+Helper lipid percentage,80.0,80.0,-0.007160602330979491
Dlin-MC3_Helper lipid_ratio,200.0,200.0,-0.0662852161446864
Dlin-MC3_Helper lipid_ratio,100.0,100.0,-0.06588728196005118
Dlin-MC3_Helper lipid_ratio,50.0,50.0,-0.04418761318983169
Dlin-MC3_Helper lipid_ratio,10.0,10.0,0.02862115527433105
Dlin-MC3_Helper lipid_ratio,1.0,1.0,0.14639668833700956
