group1,group2,meandiff,p-adj,lower,upper,reject
DT,LGBM,-1.3112,0.1064,-2.7535,0.1311,False
DT,MLR,5.0791,0.0,3.6368,6.5214,True
DT,PLS,5.101,0.0,3.6588,6.5433,True
DT,RF,-0.9467,0.4888,-2.3889,0.4956,False
DT,XGB,-0.1117,1.0,-1.554,1.3305,False
DT,kNN,2.4506,0.0,1.0083,3.8929,True
DT,lasso,4.9312,0.0,3.4889,6.3734,True
LGBM,MLR,6.3903,0.0,4.9481,7.8326,True
LGBM,PLS,6.4123,0.0,4.97,7.8545,True
LGBM,RF,0.3646,0.9947,-1.0777,1.8068,False
LGBM,XGB,1.1995,0.1864,-0.2428,2.6418,False
LGBM,kNN,3.7618,0.0,2.3195,5.2041,True
LGBM,lasso,6.2424,0.0,4.8001,7.6846,True
MLR,PLS,0.0219,1.0,-1.4203,1.4642,False
MLR,RF,-6.0258,0.0,-7.468,-4.5835,True
MLR,XGB,-5.1909,0.0,-6.6331,-3.7486,True
MLR,kNN,-2.6285,0.0,-4.0708,-1.1862,True
MLR,lasso,-0.148,1.0,-1.5902,1.2943,False
PLS,RF,-6.0477,0.0,-7.49,-4.6054,True
PLS,XGB,-5.2128,0.0,-6.6551,-3.7705,True
PLS,kNN,-2.6504,0.0,-4.0927,-1.2082,True
PLS,lasso,-0.1699,1.0,-1.6122,1.2724,False
RF,XGB,0.8349,0.6508,-0.6074,2.2772,False
RF,kNN,3.3973,0.0,1.955,4.8395,True
RF,lasso,5.8778,0.0,4.4355,7.3201,True
XGB,kNN,2.5623,0.0,1.1201,4.0046,True
XGB,lasso,5.0429,0.0,3.6006,6.4852,True
kNN,lasso,2.4806,0.0,1.0383,3.9228,True
