,0,1,2,3,4,Train_size,Score_Type,Mean_MAE,sd,Percent_Error,Percent_SD
4,0.13822224164045208,0.1863830391471514,0.09944928929278807,0.0924421676569964,0.10244129383665386,4,Train,0.12378760631480837,0.0392336021956394,12.378760631480837,3.92336021956394
21,0.06199568776596036,0.061829413624939676,0.07163343930138759,0.0639989125791292,0.08855477050426362,21,Train,0.06960244475513609,0.011324728780845778,6.960244475513609,1.1324728780845779
39,0.06531504210768455,0.06886654373433473,0.0773185784660794,0.07563153236720171,0.0827147155826813,39,Train,0.07396928245159633,0.006917320246520176,7.396928245159633,0.6917320246520176
56,0.05638986742897088,0.06886392432715835,0.07211700714452161,0.07847564953978794,0.0752007186132055,56,Train,0.07020943341072886,0.008509889735372133,7.020943341072885,0.8509889735372133
74,0.05507896068910575,0.06265518891838356,0.06269793841377208,0.06266504498206699,0.06701961884114103,74,Train,0.06202335036889388,0.004314316505282385,6.202335036889388,0.4314316505282385
92,0.05102759847575339,0.05382149053487937,0.05690310250545825,0.05934588626911641,0.06417812764362314,92,Train,0.05705524108576611,0.005069401653033761,5.705524108576611,0.5069401653033762
109,0.047726426090832434,0.05089953577960271,0.05221494617587361,0.052779164488796396,0.06117974190500318,109,Train,0.05295996288802167,0.004994691490152152,5.295996288802167,0.4994691490152152
127,0.04723352378488517,0.04776549895829606,0.05269439406407652,0.04933562613699849,0.05942247929206333,127,Train,0.051290304447263915,0.005020115181267248,5.129030444726392,0.5020115181267248
144,0.05011694224371173,0.047860889824200295,0.051460605873043644,0.050804880165249124,0.058059528404015695,144,Train,0.0516605693020441,0.0038255462188436207,5.166056930204411,0.38255462188436207
162,0.050357770636184365,0.04643585133834754,0.050088806397371774,0.05000821858597887,0.057397697213699805,162,Train,0.05085766883431647,0.003996468896120595,5.085766883431647,0.39964688961205946
179,0.04967031295460626,0.0458521289322729,0.049417548948584224,0.04829106141996945,0.05510872830989152,179,Train,0.04966795611306487,0.0033956254015288664,4.966795611306487,0.3395625401528866
197,0.04852285476366635,0.0446245278265205,0.04979205012742103,0.047106018064276514,0.053199760357358516,197,Train,0.048649042227848584,0.0031862621347245016,4.864904222784858,0.3186262134724502
214,0.04795356829028476,0.042435512603157075,0.049520983665820605,0.04660078142949385,0.052660214687586096,214,Train,0.04783421213526847,0.0037688543573268117,4.7834212135268475,0.3768854357326812
232,0.04692949575544279,0.04301276556103284,0.04935348305290731,0.046174150762132035,0.05163912713885106,232,Train,0.0474218044540732,0.0032693969010675274,4.74218044540732,0.3269396901067527
249,0.045250416907054995,0.041990626025013494,0.04989419392588412,0.04568452500436325,0.05083786187508978,249,Train,0.04673152474748113,0.0036273437434076153,4.673152474748113,0.36273437434076156
267,0.04495960822739489,0.04197584230390097,0.04807357370920044,0.04509214135511316,0.04917001914768372,267,Train,0.045854236948658644,0.0028435436743243533,4.585423694865865,0.2843543674324353
285,0.04467214444710169,0.03991451441139258,0.049121047214914844,0.043912118712837074,0.048393787597270005,285,Train,0.04520272247670324,0.0037231868412892243,4.520272247670324,0.37231868412892244
302,0.04375298429901091,0.041756351111430036,0.04938498797870116,0.04326668331361931,0.04739501251125551,302,Train,0.045111203842803385,0.0031616082155792617,4.511120384280338,0.3161608215579262
320,0.04376914458449843,0.04207333591838518,0.0490686100066993,0.04329255759932424,0.047495120714639405,320,Train,0.045139753764709314,0.0029865233318021093,4.513975376470931,0.29865233318021095
337,0.04399776281248801,0.04259524477514209,0.0496603116332022,0.043588524223751944,0.04761378929987544,337,Train,0.04549112654889194,0.0030051607080994434,4.549112654889194,0.30051607080994436
355,0.04413908586084843,0.04441003186777662,0.0497571292253111,0.04334987224992738,0.04686074634923604,355,Train,0.045703373110619915,0.00261873747836522,4.570337311061992,0.261873747836522
372,0.04405337797333815,0.04412260208351342,0.04893126432094451,0.042703398597377415,0.04598904937116254,372,Train,0.04515993846926721,0.002410677011635685,4.515993846926722,0.2410677011635685
390,0.04291436575580232,0.043902872404305474,0.04845215243609162,0.04356124681466344,0.04576919417333607,390,Train,0.04491996631683979,0.00224168235128369,4.491996631683979,0.224168235128369
407,0.04329254016496239,0.043787271693860305,0.04757217870534892,0.04300557599002197,0.044990875483535385,407,Train,0.044529688407545794,0.0018623961543817048,4.452968840754579,0.18623961543817047
425,0.043152665391916985,0.04275802461774645,0.047445718006181845,0.04245786397187327,0.04534522647367229,425,Train,0.044231899692278163,0.002124404729837665,4.423189969227816,0.2124404729837665
442,0.04247958634425727,0.04191182605782345,0.04770181137816888,0.042904451106390996,0.044717787990360816,442,Train,0.04394309257540028,0.002349190833000589,4.394309257540028,0.23491908330005892
460,0.04271888825990709,0.04123296183304713,0.04690522588889058,0.04278510554230051,0.04394486497576098,460,Train,0.043517409299981255,0.0021244190069864824,4.351740929998125,0.21244190069864824
