Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
P_charged_centers,0.0,0.0,-0.0026025125240834333
P_charged_centers,1.0,1.0,0.0010166728499843075
N_charged_centers,1.0,1.0,-0.006827218039136004
N_charged_centers,0.0,0.0,0.020694833597834594
cLogP,8.8188,8.8188,0.00294318814500061
cLogP,9.784,9.784,0.010069515146048149
cLogP,12.515,12.515,-0.007501713913801023
cLogP,6.12,6.12,0.0034780783674094196
Hbond_D,3.0,3.0,0.0002105746010663498
Hbond_D,2.0,2.0,0.000415425043307923
Hbond_D,0.0,0.0,-0.00049187278875827
Hbond_A,10.0,10.0,0.003427141606659909
Hbond_A,9.0,9.0,0.008997153553867352
Hbond_A,4.0,4.0,-0.01053804984737081
Hbond_A,8.0,8.0,0.003299461381749657
Double_bonds,2.0,2.0,0.021618660647483575
Double_bonds,0.0,0.0,-0.05911091121200423
18PG,1.0,1.0,-0.1567632684584797
18PG,0.0,0.0,0.04642082693687436
DOPE,0.0,0.0,0.0018829360323291526
DOPE,1.0,1.0,-0.003899236547811043
Size,"(372.0, 471.0)",421.5,0.0024603710988454655
Size,"(273.0, 372.0)",322.5,0.002853803674270758
Size,"(174.0, 273.0)",223.5,0.004102110256201363
Size,"(471.0, 570.0)",520.5,0.03044366936249144
Size,"(1263.0, 1362.0)",1312.5,0.017721236885316995
Size,"(75.0, 174.0)",124.5,-0.004495931875213712
Size,"(867.0, 966.0)",916.5,0.011739738844176973
Size,"(1857.0, 1956.0)",1906.5,0.01618879102893737
Size,"(966.0, 1065.0)",1015.5,0.013671336567506282
Size,"(1164.0, 1263.0)",1213.5,0.010691610115064436
Size,"(1065.0, 1164.0)",1114.5,0.011657792005643758
Size,"(1659.0, 1758.0)",1708.5,0.015721909955914028
Size,"(669.0, 768.0)",718.5,0.023169343207463187
Size,"(570.0, 669.0)",619.5,0.009081713087336267
Size,"(768.0, 867.0)",817.5,0.020475759978191278
Size,"(1461.0, 1560.0)",1510.5,0.020844494368761297
Size,"(1560.0, 1659.0)",1609.5,0.020891110861656768
Size,"(1758.0, 1857.0)",1807.5,0.004061189593176318
PDI,0.292666667,0.292666667,-0.011866479351742912
PDI,0.187666667,0.187666667,-0.011012789980873556
PDI,0.408666667,0.408666667,0.006024640815515543
PDI,0.359666667,0.359666667,-0.02720826379781619
PDI,0.308666667,0.308666667,-0.016215029729194263
PDI,0.374333333,0.374333333,-0.009648450137816223
PDI,0.257,0.257,-0.00035027985408217586
PDI,0.367333333,0.367333333,0.00886955877799521
PDI,0.301,0.301,0.008902069250914729
PDI,0.5935,0.5935,0.010891306040521477
PDI,0.445,0.445,0.0094866330238103
PDI,0.466166667,0.466166667,0.004021353555326368
PDI,0.062333333,0.062333333,-0.019429909695538615
PDI,0.177666667,0.177666667,-0.01702392921245205
PDI,0.699333333,0.699333333,0.01666283542478223
PDI,0.298,0.298,-0.01728094667820747
PDI,0.319666667,0.319666667,-0.014146264855018489
PDI,0.671,0.671,0.018810211456401427
PDI,0.285666667,0.285666667,0.000854164653857801
PDI,0.286333333,0.286333333,0.0066383071421521715
PDI,0.296333333,0.296333333,0.009833360319309037
PDI,0.565833333,0.565833333,0.01128631469457961
PDI,0.429666667,0.429666667,0.009859063580008213
PDI,0.270666667,0.270666667,-0.009877863342109073
PDI,0.301666667,0.301666667,0.009002059146749222
PDI,0.512666667,0.512666667,0.022495631584205165
PDI,0.621666667,0.621666667,0.010513172961184935
