group1,group2,meandiff,p-adj,lower,upper,reject
DT,LGBM,-0.9874,0.9844,-4.0067,2.032,False
DT,MLP,0.8579,0.9939,-2.1615,3.8773,False
DT,MLR,5.0869,0.0,2.0675,8.1063,True
DT,PLS,5.0298,0.0,2.0104,8.0492,True
DT,RF,-0.2448,1.0,-3.2642,2.7745,False
DT,XGB,-0.483,0.9999,-3.5023,2.5364,False
DT,kNN,2.7692,0.1024,-0.2501,5.7886,False
DT,lasso,4.7764,0.0,1.757,7.7957,True
LGBM,MLP,1.8453,0.6149,-1.1741,4.8647,False
LGBM,MLR,6.0743,0.0,3.0549,9.0936,True
LGBM,PLS,6.0172,0.0,2.9978,9.0365,True
LGBM,RF,0.7426,0.9977,-2.2768,3.7619,False
LGBM,XGB,0.5044,0.9999,-2.515,3.5238,False
LGBM,kNN,3.7566,0.0037,0.7373,6.776,True
LGBM,lasso,5.7638,0.0,2.7444,8.7831,True
MLP,MLR,4.229,0.0005,1.2096,7.2484,True
MLP,PLS,4.1719,0.0006,1.1525,7.1912,True
MLP,RF,-1.1027,0.969,-4.1221,1.9166,False
MLP,XGB,-1.3409,0.9056,-4.3602,1.6785,False
MLP,kNN,1.9113,0.5672,-1.108,4.9307,False
MLP,lasso,3.9185,0.0019,0.8991,6.9378,True
MLR,PLS,-0.0571,1.0,-3.0765,2.9623,False
MLR,RF,-5.3317,0.0,-8.3511,-2.3124,True
MLR,XGB,-5.5699,0.0,-8.5892,-2.5505,True
MLR,kNN,-2.3177,0.2932,-5.337,0.7017,False
MLR,lasso,-0.3105,1.0,-3.3299,2.7088,False
PLS,RF,-5.2746,0.0,-8.294,-2.2553,True
PLS,XGB,-5.5128,0.0,-8.5321,-2.4934,True
PLS,kNN,-2.2606,0.3271,-5.2799,0.7588,False
PLS,lasso,-0.2534,1.0,-3.2728,2.7659,False
RF,XGB,-0.2382,1.0,-3.2575,2.7812,False
RF,kNN,3.014,0.0508,-0.0053,6.0334,False
RF,lasso,5.0212,0.0,2.0018,8.0405,True
XGB,kNN,3.2522,0.0237,0.2329,6.2716,True
XGB,lasso,5.2594,0.0,2.24,8.2787,True
kNN,lasso,2.0071,0.4979,-1.0122,5.0265,False
