Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
P_charged_centers,0.0,0.0,-0.007952879740389263
P_charged_centers,1.0,1.0,0.005166872754316345
cLogP,8.8188,8.8188,-0.04229171859528896
cLogP,9.784,9.784,-0.033853300415203555
cLogP,12.515,12.515,0.07681184670695546
cLogP,6.12,6.12,-0.05018998959609519
cLogP,11.8502,11.8502,-0.05447323301829784
cLogP,12.73,12.73,0.11368482486922035
Hbond_D,3.0,3.0,0.027590510460249944
Hbond_D,2.0,2.0,-0.008418203121256315
Hbond_D,0.0,0.0,-0.0037323013833605507
Total_Carbon_Tails,36.0,36.0,0.00022932361455263605
Total_Carbon_Tails,28.0,28.0,-0.0010505880011449443
DOPE,0.0,0.0,-0.011373971538046687
DOPE,1.0,1.0,0.04276646606318236
NP_ratio,4.0,4.0,-0.004428917427825863
NP_ratio,8.0,8.0,-0.010796095680640695
NP_ratio,12.0,12.0,0.01522501310846656
PEG_(Chol+PEG),0.199600798,0.199600798,-0.002413587853093362
PEG_(Chol+PEG),0.99009901,0.99009901,0.05004568520089785
PEG_(Chol+PEG),9.090909091,9.090909091,-0.047632097347804415
(IL+HL),20.0,20.0,-0.029233410984066076
(IL+HL),40.0,40.0,-0.004463773676843235
(IL+HL),60.0,60.0,0.010491288865109196
(IL+HL),80.0,80.0,0.023205895795800128
HL_(IL+HL),0.497512438,0.497512438,-0.05134032790402893
HL_(IL+HL),0.99009901,0.99009901,-0.06319842242600099
HL_(IL+HL),1.960784314,1.960784314,-0.051361180527881446
HL_(IL+HL),9.090909091,9.090909091,0.0342479999495003
HL_(IL+HL),50.0,50.0,0.13165193090841099
