Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
P_charged_centers,0.0,0.0,-0.06787097610001046
P_charged_centers,1.0,1.0,0.026822453720190844
N_charged_centers,1.0,1.0,-0.003061119074119365
N_charged_centers,0.0,0.0,0.007921515476150014
cLogP,8.8188,8.8188,-0.026201933091497345
cLogP,9.784,9.784,0.027746806740901055
cLogP,12.515,12.515,0.019269532828227673
cLogP,6.12,6.12,-0.037561373912469144
Hbond_D,3.0,3.0,-0.0014953315580579403
Hbond_D,2.0,2.0,0.0009359682265208209
Hbond_D,0.0,0.0,0.0011202484038491647
Hbond_A,10.0,10.0,-0.00013591260689926828
Hbond_A,9.0,9.0,0.00018354454098890914
Hbond_A,4.0,4.0,0.00011801227782458915
Hbond_A,8.0,8.0,8.980021368719058e-05
Double_bonds,2.0,2.0,3.175895187213131e-05
Double_bonds,0.0,0.0,-8.234771018300838e-05
18PG,1.0,1.0,0.0
18PG,0.0,0.0,0.0
DOPE,0.0,0.0,-0.0035137327573727794
DOPE,1.0,1.0,0.009689063131741024
DSPC,0.0,0.0,2.549533889797079e-05
DSPC,1.0,1.0,-9.887748584092882e-05
DOTAP,0.0,0.0,0.0
DOTAP,1.0,1.0,0.0
Size,"(284.0, 493.0)",388.5,-0.00416764752266306
Size,"(75.0, 284.0)",179.5,0.0005617371169482756
Size,"(1120.0, 1329.0)",1224.5,-0.0013003839547080084
Size,"(911.0, 1120.0)",1015.5,-0.004839684183203449
Size,"(1747.0, 1956.0)",1851.5,-0.001976586381957353
Size,"(1538.0, 1747.0)",1642.5,-0.0003831067063151154
Size,"(493.0, 702.0)",597.5,0.00285109573640596
Size,"(702.0, 911.0)",806.5,-0.0012770482808432556
Size,"(1329.0, 1538.0)",1433.5,0.005608353220996172
PDI,0.292666667,0.292666667,0.0024130302244264414
PDI,0.187666667,0.187666667,0.01041508171249867
PDI,0.408666667,0.408666667,-0.0040472440841274075
PDI,0.359666667,0.359666667,0.0023279444005592747
PDI,0.308666667,0.308666667,0.008880282067043886
PDI,0.374333333,0.374333333,0.002534701016473413
PDI,0.257,0.257,0.011726161570407782
PDI,0.367333333,0.367333333,0.0033170242929417026
PDI,0.301,0.301,0.004014620341682668
PDI,0.5935,0.5935,-0.017519187974850938
