Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
P_charged_centers,0.0,0.0,0.002567958236427219
P_charged_centers,1.0,1.0,-0.0016294545573397974
N_charged_centers,1.0,1.0,-0.08214744233249517
N_charged_centers,0.0,0.0,0.18523262043820218
cLogP,8.8188,8.8188,-0.0003528425556481749
cLogP,9.784,9.784,-0.001287110030147263
cLogP,12.515,12.515,0.0004427406592101948
cLogP,6.12,6.12,0.0014026082754199688
cLogP,11.8502,11.8502,-5.729451895857393e-05
cLogP,12.73,12.73,-0.0008146684129037077
Hbond_A,10.0,10.0,-0.022014712536574405
Hbond_A,9.0,9.0,0.010345307864491287
Hbond_A,4.0,4.0,0.0012978310703037359
Hbond_A,8.0,8.0,0.005521717473302564
Hbond_A,0.0,0.0,0.003096949798084832
Total_Carbon_Tails,36.0,36.0,-0.0001659982054662178
Total_Carbon_Tails,28.0,28.0,0.0001888997985308511
Double_bonds,2.0,2.0,-0.00030480830223638344
Double_bonds,0.0,0.0,0.00019125785100856254
DOPE,0.0,0.0,-0.003391883047082744
DOPE,1.0,1.0,0.01183940269299331
DSPC,0.0,0.0,-0.0005171261234640056
DSPC,1.0,1.0,0.0012878425283918348
DOTAP,0.0,0.0,-0.0003435803964263726
DOTAP,1.0,1.0,0.0008589509910659315
DDAB,0.0,0.0,-0.015259921173917793
DDAB,1.0,1.0,0.03800696802261041
Size,"(372.0, 471.0)",421.5,-0.002177657901240306
Size,"(273.0, 372.0)",322.5,-0.003589897196933525
Size,"(174.0, 273.0)",223.5,-0.004274627461182897
Size,"(471.0, 570.0)",520.5,0.003136396445432897
Size,"(1263.0, 1362.0)",1312.5,-0.002671032048703956
Size,"(75.0, 174.0)",124.5,0.0013826867237029408
Size,"(867.0, 966.0)",916.5,0.006888554217596457
Size,"(1857.0, 1956.0)",1906.5,0.011364459478164831
Size,"(966.0, 1065.0)",1015.5,0.006561965144651661
Size,"(1164.0, 1263.0)",1213.5,0.004466935840369818
Size,"(1065.0, 1164.0)",1114.5,0.009798328294373444
Size,"(1659.0, 1758.0)",1708.5,0.00765842170290976
Size,"(669.0, 768.0)",718.5,0.0053784782059708835
Size,"(570.0, 669.0)",619.5,0.014219366201036643
Size,"(768.0, 867.0)",817.5,0.032834941472787565
Size,"(1461.0, 1560.0)",1510.5,0.004148419833511028
Size,"(1560.0, 1659.0)",1609.5,0.005044571003768444
Size,"(1758.0, 1857.0)",1807.5,0.011730212958197272
PDI,0.292666667,0.292666667,0.002352458127212948
PDI,0.187666667,0.187666667,0.003636249284698671
PDI,0.408666667,0.408666667,-0.0014674681727222536
PDI,0.359666667,0.359666667,0.02004298448446463
PDI,0.308666667,0.308666667,0.0014590615770605807
PDI,0.374333333,0.374333333,0.019770359129974942
PDI,0.257,0.257,-0.0033055258432894015
PDI,0.367333333,0.367333333,0.0029151241177146174
PDI,0.301,0.301,-0.00035959059901719107
PDI,0.5935,0.5935,-0.0014306441679928787
PDI,0.445,0.445,0.0011514085776526675
PDI,0.466166667,0.466166667,-0.0011787619113513993
PDI,0.062333333,0.062333333,0.003871081683508631
PDI,0.177666667,0.177666667,0.0059524949283432825
PDI,0.699333333,0.699333333,-0.004320086882023594
PDI,0.298,0.298,-0.0014040599580281143
PDI,0.319666667,0.319666667,0.0006122115660602129
PDI,0.671,0.671,-0.004531823138589812
PDI,0.285666667,0.285666667,0.0011399167438252535
PDI,0.286333333,0.286333333,-0.0017537658664757033
PDI,0.296333333,0.296333333,-0.016514821648581028
PDI,0.565833333,0.565833333,-0.0012800975077993646
PDI,0.429666667,0.429666667,0.0015291644449651545
PDI,0.270666667,0.270666667,-0.0023519087133468865
PDI,0.301666667,0.301666667,-0.0008984546862257923
PDI,0.512666667,0.512666667,-0.005867564577025889
PDI,0.621666667,0.621666667,-0.005345510882349154
PDI,0.463333333,0.463333333,-0.002441412838801521
PDI,0.442333333,0.442333333,-0.003106504795041309
PDI,0.252,0.252,0.0007536461190149623
PDI,0.283333333,0.283333333,0.002094010104177331
PDI,0.240333333,0.240333333,0.0018735761459979438
PDI,0.281333333,0.281333333,0.002531006463732707
PDI,0.537333333,0.537333333,-0.0022371523841735108
PDI,0.436166667,0.436166667,0.0016327789175915822
PDI,0.323,0.323,-0.0008153704472416495
PDI,0.320333333,0.320333333,-0.0011967941796429725
PDI,0.568333333,0.568333333,-0.001707780665493061
PDI,0.293,0.293,-0.00513722368295311
PDI,0.251,0.251,-0.0023350707916476423
PDI,0.263,0.263,-0.001551151678556139
PDI,0.273666667,0.273666667,0.001260201028911504
PDI,0.252666667,0.252666667,0.0012516007209665916
PDI,0.257333333,0.257333333,-0.0014307988232533716
PDI,0.268333333,0.268333333,0.0018604472627406373
PDI,0.3755,0.3755,0.00386072897135047
PDI,0.288833333,0.288833333,0.0011712861635460544
PDI,0.234333333,0.234333333,0.005166642412026571
PDI,0.579,0.579,-0.004732512421425244
PDI,0.492333333,0.492333333,-0.007519147059102551
PDI,0.215333333,0.215333333,0.0012307883232282322
PDI,0.760333333,0.760333333,-0.00540946183072842
PDI,0.693666667,0.693666667,-0.005676328950243561
PDI,0.461,0.461,-0.005797137168737109
PDI,0.716333333,0.716333333,-0.0026611501912296707
PDI,0.147333333,0.147333333,0.011965259602436577
PDI,0.683333333,0.683333333,-0.0020380982408686487
PDI,0.131333333,0.131333333,0.001848820084464381
PDI,0.151833333,0.151833333,0.0016003594578810907
PDI,0.102,0.102,0.002144436849073092
PDI,0.964,0.964,-0.009859456818244699
PDI,0.518,0.518,-0.005322672886875419
PDI,0.349333333,0.349333333,-0.0016561100293891518
PDI,0.609333333,0.609333333,-0.004604218962664632
PDI,0.548,0.548,-0.004253553736178354
PDI,0.46,0.46,-0.004964441009772026
PDI,0.504666667,0.504666667,-0.003936516765532043
PDI,0.482666667,0.482666667,-0.0039312872569569664
PDI,0.325666667,0.325666667,-0.0009152772085971252
PDI,0.144666667,0.144666667,0.0019075688684960553
PDI,0.213666667,0.213666667,0.0013495093285590125
PDI,0.112,0.112,0.0032031365132870714
PDI,0.447,0.447,-0.005103884065428174
PDI,0.669666667,0.669666667,-0.003315768143562561
PDI,0.441,0.441,-0.0016107945208212488
PDI,0.641666667,0.641666667,-0.0016722941677762247
PDI,0.624,0.624,-0.003560431529113573
PDI,0.565,0.565,-0.00300506741422617
PDI,0.412333333,0.412333333,-0.0014326194140611478
PDI,0.722666667,0.722666667,-0.0029262497039708613
PDI,0.080666667,0.080666667,0.001496886845694505
PDI,0.114666667,0.114666667,0.0010587644294235558
PDI,0.3485,0.3485,-0.0012315938406112048
PDI,0.887666667,0.887666667,-0.006960748611430527
PDI,0.453,0.453,-0.005635253956847461
PDI,0.686333333,0.686333333,-0.005267993748673628
PDI,0.627666667,0.627666667,-0.004788972542989609
PDI,0.536333333,0.536333333,-0.004596592853612503
PDI,0.343333333,0.343333333,0.0006848398863752095
PDI,0.484333333,0.484333333,-0.0047323041115521
PDI,0.341333333,0.341333333,-7.74031404704973e-05
PDI,0.295666667,0.295666667,8.058497177793549e-05
PDI,0.139,0.139,0.002208132012288937
PDI,0.146666667,0.146666667,0.0016401450581970652
PDI,0.148333333,0.148333333,0.003482804525590711
PDI,0.88,0.88,-0.002387751374230529
PDI,0.436333333,0.436333333,-0.0001846022594911091
PDI,0.81,0.81,-0.003059614684816502
PDI,0.343666667,0.343666667,0.0026325430850293644
PDI,0.364666667,0.364666667,0.02085626185213401
PDI,0.267,0.267,-0.00010506836121766737
PDI,0.353333333,0.353333333,-0.00603495476047195
PDI,0.390666667,0.390666667,0.00025585211172505877
PDI,0.217333333,0.217333333,-0.0015873035232264732
PDI,0.153666667,0.153666667,0.0029541338147075877
PDI,0.369,0.369,0.003264988016408939
PDI,0.277,0.277,0.006245466097272989
PDI,0.221,0.221,0.0025907114418527366
PDI,0.200333333,0.200333333,0.006397647329575723
PDI,0.109,0.109,0.0018216922414361647
PDI,0.203333333,0.203333333,0.002658238995522193
PDI,0.1,0.1,0.0034341882570595194
PDI,0.111,0.111,0.004298934237255996
PDI,0.106333333,0.106333333,0.005374291651983543
PDI,0.209,0.209,0.0019144013918891587
PDI,0.061666667,0.061666667,0.00400251538462465
PDI,0.201,0.201,0.004567331248427586
PDI,0.132666667,0.132666667,0.002713371344732075
PDI,0.290333333,0.290333333,0.00039312832026954566
PDI,0.238333333,0.238333333,0.006802405565438159
PDI,0.428333333,0.428333333,0.0038564099062852134
PDI,0.599333333,0.599333333,0.000528521207345633
PDI,0.307333333,0.307333333,0.0004528306307795101
PDI,0.435666667,0.435666667,2.16577072411701e-05
PDI,0.400666667,0.400666667,-0.002177333968340975
PDI,0.504,0.504,-0.0016237170763690532
PDI,0.356666667,0.356666667,0.0011300458157574372
PDI,0.331,0.331,-0.0009289198021666949
PDI,0.313333333,0.313333333,0.00991866071539652
PDI,0.258666667,0.258666667,0.009802047959348954
PDI,0.286,0.286,-0.0013936447608156799
PDI,0.231666667,0.231666667,-0.0001172884141756468
PDI,0.714,0.714,0.001302215615923516
PDI,0.704333333,0.704333333,-0.018737089271619857
PDI,0.334,0.334,0.000948046294654308
PDI,0.396,0.396,-0.0001791479657450204
PDI,0.366333333,0.366333333,-0.02066889920040837
PDI,0.477333333,0.477333333,-0.0013299689942570464
PDI,0.330666667,0.330666667,-0.008220038870032257
PDI,0.313,0.313,-0.000440186528058575
PDI,0.302666667,0.302666667,0.010193676725086868
PDI,0.251333333,0.251333333,-0.0022147123790612904
PDI,0.095333333,0.095333333,0.004158050809247595
