Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
P_charged_centers,0.0,0.0,-0.0032096578503042275
P_charged_centers,1.0,1.0,0.0022031953997459913
cLogP,8.8188,8.8188,-0.09797452927453798
cLogP,9.784,9.784,-0.07955213163611002
cLogP,12.515,12.515,0.1222229213577425
cLogP,6.12,6.12,-0.0942596878608307
cLogP,11.8502,11.8502,-0.08185191489815133
cLogP,12.73,12.73,0.22752773824200218
Hbond_D,3.0,3.0,-0.01335928602221245
Hbond_D,2.0,2.0,0.00410496117527737
Hbond_D,0.0,0.0,0.0021099449836265477
Hbond_A,10.0,10.0,0.001621309514485294
Hbond_A,9.0,9.0,0.004393367798856464
Hbond_A,4.0,4.0,-0.0007912382171092506
Hbond_A,8.0,8.0,-0.002059266993417592
Hbond_A,0.0,0.0,-0.0007912382171092506
Double_bonds,2.0,2.0,0.0
Double_bonds,0.0,0.0,0.0
DOTAP,0.0,0.0,0.0
DOTAP,1.0,1.0,0.0
NP_ratio,4.0,4.0,-0.016123073368841345
NP_ratio,8.0,8.0,-0.006238537322478351
NP_ratio,12.0,12.0,0.02236161069131972
PEG_(Chol+PEG),0.199600798,0.199600798,-0.004304531726379786
PEG_(Chol+PEG),0.99009901,0.99009901,0.03597836351876807
PEG_(Chol+PEG),9.090909091,9.090909091,-0.03167383179238825
(IL+HL),20.0,20.0,-0.040909015039592336
(IL+HL),40.0,40.0,-0.01014386175563688
(IL+HL),60.0,60.0,0.028220529548647195
(IL+HL),80.0,80.0,0.022832347246582087
HL_(IL+HL),0.497512438,0.497512438,-0.04778813700086433
HL_(IL+HL),0.99009901,0.99009901,-0.05645241836045281
HL_(IL+HL),1.960784314,1.960784314,-0.046055748736157656
HL_(IL+HL),9.090909091,9.090909091,0.030462291387103727
HL_(IL+HL),50.0,50.0,0.11983401271037118
