,0,1,2,3,4,Train_size,Score_Type,Mean_MAE,sd,Percent_Error,Percent_SD
4,0.1303295784317237,0.1625443572134858,0.1577759048970901,0.13024529697937984,0.15654276082327892,4,Train,0.14748757966899168,0.015860688908170453,14.748757966899168,1.5860688908170453
21,0.1514616919069097,0.17404714431139312,0.15060600071405927,0.145032339871414,0.15921755037748167,21,Train,0.15607294543625155,0.011247293901037314,15.607294543625155,1.1247293901037314
39,0.15880026449061652,0.16462396100156018,0.16327383050940905,0.14740911348324995,0.16130911964441014,39,Train,0.15908325782584914,0.0068844114362174675,15.908325782584914,0.6884411436217468
56,0.12179347626162754,0.12658325979731672,0.12063378410533969,0.12305379772886153,0.11864773240142752,56,Train,0.1221424100589146,0.0029648883990980924,12.214241005891461,0.29648883990980923
74,0.09472219250316272,0.09321944495791835,0.09862803370077453,0.09812351667216805,0.09798167430940546,74,Train,0.09653497242868583,0.002412271652493202,9.653497242868584,0.2412271652493202
92,0.08288673640869271,0.07920033736212265,0.08435652827672255,0.09146472135780069,0.0824990638347228,92,Train,0.08408147744801228,0.0045372048422580285,8.408147744801228,0.45372048422580286
109,0.07669284371128801,0.07724864688890336,0.07789679674754443,0.08433997301318391,0.07951339622666007,109,Train,0.07913833131751595,0.0030939648905802266,7.913833131751595,0.30939648905802264
127,0.07120236841968859,0.06925507181552872,0.07164992868141845,0.07871777411967082,0.06858241326175976,127,Train,0.07188151125961326,0.0040321082305733915,7.188151125961325,0.40321082305733913
144,0.0664745995672743,0.06667171939752886,0.06842749653442973,0.07279149959206509,0.06598537507258391,144,Train,0.06807013803277637,0.002795823418365676,6.807013803277637,0.2795823418365676
162,0.06467861558338328,0.06460570298986844,0.06648352583921788,0.0666489837561181,0.06449381175765681,162,Train,0.0653821279852489,0.0010845358419786977,6.5382127985248895,0.10845358419786977
179,0.06317473067636323,0.06152890936848308,0.06563695152733942,0.06547595941472961,0.061762431526018305,179,Train,0.06351579650258674,0.001967223449669292,6.351579650258674,0.1967223449669292
197,0.06101739328719571,0.06032873605352984,0.06307844129450906,0.06129014449216256,0.06095725709248627,197,Train,0.06133439444397668,0.0010365481885389182,6.133439444397668,0.10365481885389181
214,0.05708120536611473,0.057276810037670614,0.06029723548577257,0.05865263435063488,0.058240657093131074,214,Train,0.05830970846666478,0.0012892564658017786,5.830970846666478,0.12892564658017786
232,0.05444332877587495,0.05523681090236465,0.058809894641810315,0.05667253641866431,0.057790789986735557,232,Train,0.05659067214508995,0.0017899690565020296,5.659067214508995,0.17899690565020296
249,0.05282995663687393,0.05406281048390653,0.05550672517302855,0.05705959237432988,0.054594578084839376,249,Train,0.05481073255059565,0.001586770275478935,5.481073255059565,0.1586770275478935
267,0.052552328263594,0.05267786126873207,0.05545514856236779,0.055459623208626185,0.053083551046610375,267,Train,0.05384570246998609,0.0014843013151105576,5.384570246998608,0.14843013151105575
285,0.05179656693706867,0.05195551569948259,0.053689929816217105,0.05357579307953766,0.0517895273401093,285,Train,0.05256146657448306,0.0009811250744167685,5.256146657448306,0.09811250744167685
302,0.05095582536248644,0.04988460595919247,0.05261159118728449,0.051620593593612984,0.051517973618623134,302,Train,0.051318117944239905,0.0009988392470246853,5.1318117944239905,0.09988392470246853
320,0.05042917399708803,0.049574162171516785,0.051843225468334364,0.05091802546221249,0.051172274068480614,320,Train,0.05078737223352646,0.0008485620739404681,5.078737223352646,0.08485620739404681
337,0.049594512896894774,0.04926597362943663,0.05220186633931292,0.049566858650850754,0.04991187432737628,337,Train,0.05010821716877427,0.0011925028997969967,5.010821716877427,0.11925028997969966
355,0.04939428797507756,0.04878476492947492,0.05097233099807223,0.050022414300876186,0.04967625978250095,355,Train,0.04977001159720037,0.0008108556754719596,4.977001159720037,0.08108556754719595
372,0.048816698667848005,0.04783421434314614,0.05058097774793319,0.04919237741344666,0.04859143092452993,372,Train,0.049003139819380793,0.001011933135372706,4.900313981938079,0.1011933135372706
390,0.04732494476465598,0.0477708562597783,0.05002256510472349,0.048634432945583214,0.048201063364179106,390,Train,0.04839077248778402,0.0010342137085855574,4.839077248778402,0.10342137085855574
407,0.048274861238360334,0.04628161087023897,0.04939265704037084,0.047689790987093326,0.04715632847228244,407,Train,0.04775904972166918,0.001171071051320075,4.775904972166918,0.1171071051320075
425,0.047957407740868985,0.04668882604473433,0.04821536515139544,0.047995512056816014,0.0473167949939324,425,Train,0.047634781197549436,0.0006259470312201368,4.763478119754944,0.06259470312201368
442,0.04744289088192826,0.04605126170008027,0.047927236178964064,0.04650708231047229,0.047088798383139834,442,Train,0.047003453890916945,0.0007427679619664048,4.700345389091694,0.07427679619664049
460,0.04639893043765469,0.04497103276373367,0.047065289677505506,0.04668970519811489,0.04742218713924355,460,Train,0.046509429043250464,0.0009425339427837306,4.6509429043250465,0.09425339427837306
478,0.04700311666956343,0.04511007092631592,0.047290218511534574,0.046288315103474545,0.04648110382834526,478,Train,0.04643456500784674,0.0008416105659339286,4.643456500784674,0.08416105659339286
495,0.04660902154187265,0.045225994352338816,0.04657008082775256,0.04627348992998058,0.04616968173717825,495,Train,0.04616965367782458,0.0005600582364770177,4.616965367782458,0.05600582364770176
513,0.04622240165866386,0.04513878335126091,0.04565133396757524,0.046347793890786526,0.04614571819529721,513,Train,0.04590120621271675,0.0005015271520289096,4.590120621271675,0.05015271520289096
530,0.04563038979947151,0.045241754511718725,0.04537015852621193,0.04600163077306751,0.04601857263767935,530,Train,0.04565250124962981,0.0003552530428033219,4.565250124962981,0.03552530428033219
548,0.04521452100388674,0.04465111249159051,0.04580636473105747,0.045806381940332395,0.04637878912064392,548,Train,0.0455714338575022,0.0006588994307796814,4.55714338575022,0.06588994307796814
565,0.045544245964098944,0.044033457847881464,0.044979988610190834,0.04637940045627127,0.04650876571690696,565,Train,0.045489171719069896,0.0010263384688503343,4.548917171906989,0.10263384688503344
583,0.04508828600265632,0.04389463681064418,0.04499038577726385,0.04572979833522026,0.046401331883877316,583,Train,0.045220887761932387,0.0009330185252623138,4.522088776193239,0.09330185252623138
600,0.04461172886050521,0.04381860756915394,0.04441213763706192,0.045336260319876254,0.04539849752722867,600,Train,0.0447154463827652,0.0006631444389625243,4.47154463827652,0.06631444389625242
618,0.04432630047472596,0.04363220245871815,0.04440926158507784,0.04496743211315875,0.045525723905052995,618,Train,0.044572184107346736,0.0007134471144941002,4.457218410734674,0.07134471144941001
635,0.044144535512602584,0.04376858835389423,0.044218820503215614,0.044753954613675484,0.045619614534499135,635,Train,0.04450110270357741,0.0007173568636258841,4.450110270357741,0.07173568636258841
653,0.04380103335971305,0.04378237758609056,0.0437826146064829,0.044610558233387096,0.045350504193602,653,Train,0.044265417595855124,0.0007033160883705194,4.426541759585512,0.07033160883705195
671,0.04367959979341651,0.04347502980970951,0.04384194078612572,0.04405669865058588,0.045236215962392974,671,Train,0.04405789700044612,0.0006924444088721278,4.405789700044612,0.06924444088721278
688,0.04400320725415161,0.04313774170902103,0.04412510210184195,0.04341441466724325,0.04536021887133707,688,Train,0.044008136920718983,0.000859058306405019,4.400813692071899,0.0859058306405019
706,0.0437581243853154,0.04345996496508399,0.04385929351732668,0.04373753953726624,0.04475373860550566,706,Train,0.04391373220209959,0.0004923760456544367,4.391373220209959,0.04923760456544367
723,0.04352420760470386,0.042713506827563384,0.04406570253214862,0.04334057253437775,0.044071801793578266,723,Train,0.04354315825847438,0.0005661797649279828,4.354315825847438,0.05661797649279828
741,0.04313988276394705,0.0427162178230977,0.04279128608633694,0.04304658291426006,0.04386727405691333,741,Train,0.04311224872891102,0.00045689068203417073,4.311224872891102,0.045689068203417074
758,0.04316384778187307,0.04276930651580635,0.042637082927088524,0.043099862523349526,0.04344351179947846,758,Train,0.04302272230951919,0.0003224391819326915,4.302272230951918,0.032243918193269154
776,0.042991174461234946,0.04272540485613554,0.042699882265875386,0.04279890634540607,0.04318112112311867,776,Train,0.04287929781035412,0.00020368447641861095,4.2879297810354124,0.020368447641861097
793,0.04259047204358658,0.042615157337934466,0.042437830435885296,0.04245258052181333,0.04278426294742495,793,Train,0.04257606065732892,0.00014092495350076514,4.257606065732892,0.014092495350076515
811,0.04236058045693611,0.042577639634540455,0.04220608304453749,0.04233289426818014,0.042893471973661716,811,Train,0.04247413387557118,0.00026983890390728144,4.247413387557118,0.026983890390728144
828,0.04197136623127582,0.042420553346424084,0.04237462122606456,0.04234735677870802,0.042395675328201925,828,Train,0.04230191458213488,0.0001867349026371812,4.230191458213488,0.01867349026371812
846,0.04205592399741341,0.0420164962168754,0.04189159454553866,0.04201124548827103,0.042287464428961904,846,Train,0.042052544935412085,0.0001450075592446941,4.205254493541209,0.01450075592446941
864,0.041749255561710844,0.04163316521195481,0.04188105910601799,0.04183053119759879,0.04215034134666363,864,Train,0.04184887048478921,0.00019281403928334725,4.184887048478921,0.019281403928334724
