Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
P_charged_centers,0.0,0.0,-0.03237163264218777
P_charged_centers,1.0,1.0,0.016411843670791237
cLogP,8.8188,8.8188,-0.017952525254533738
cLogP,9.784,9.784,0.03617046691219789
cLogP,12.515,12.515,-0.012412948648322385
cLogP,6.12,6.12,-0.05432700581093582
cLogP,11.8502,11.8502,0.005160562365289602
cLogP,12.73,12.73,0.048375023771692394
Hbond_D,3.0,3.0,0.011529051783420837
Hbond_D,2.0,2.0,0.008240374410101801
Hbond_D,0.0,0.0,-0.008984054162273512
Hbond_A,10.0,10.0,0.013429605208325257
Hbond_A,9.0,9.0,0.008836754949036487
Hbond_A,4.0,4.0,-0.0061297949294897005
Hbond_A,8.0,8.0,-0.006807907448794869
Hbond_A,0.0,0.0,-0.004252262344002031
Double_bonds,1.0,1.0,-0.0017809476430533909
Double_bonds,2.0,2.0,0.009618407455720795
Double_bonds,0.0,0.0,-0.007566558701883217
NP_ratio,4.0,4.0,-0.04940315459053139
NP_ratio,8.0,8.0,0.014697351217552081
NP_ratio,12.0,12.0,0.034705803372979335
PEG_(Chol+PEG),0.199600798,0.199600798,-0.014049101392773282
PEG_(Chol+PEG),0.99009901,0.99009901,0.0838160837200948
PEG_(Chol+PEG),9.090909091,9.090909091,-0.0697669823273215
(IL+HL),20.0,20.0,-0.09229373840712304
(IL+HL),40.0,40.0,0.0021982593997656335
(IL+HL),60.0,60.0,0.0920115996766247
(IL+HL),80.0,80.0,-0.0019161206692673454
HL_(IL+HL),0.497512438,0.497512438,-0.01875161531894222
HL_(IL+HL),0.99009901,0.99009901,-0.0150181732697085
HL_(IL+HL),1.960784314,1.960784314,0.0030572482369733596
HL_(IL+HL),9.090909091,9.090909091,0.05507873957440257
HL_(IL+HL),50.0,50.0,-0.024366199222725336
