Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
P_charged_centers,0.0,0.0,-0.07918760259647586
P_charged_centers,1.0,1.0,0.02960932893099304
N_charged_centers,1.0,1.0,9.191126523430249e-05
N_charged_centers,0.0,0.0,0.0020193266470178864
cLogP,8.8188,8.8188,-0.02844790561361347
cLogP,9.784,9.784,0.0256455679540051
cLogP,12.515,12.515,0.021729628065747353
cLogP,6.12,6.12,-0.04502534774195185
Hbond_D,3.0,3.0,0.0019734257633163004
Hbond_D,2.0,2.0,0.004678053507004828
Hbond_D,0.0,0.0,-0.002531950391787996
Double_bonds,1.0,1.0,-0.0001075434250282834
Double_bonds,2.0,2.0,0.0001441526605358487
Double_bonds,0.0,0.0,-0.0002912314423387209
NP_ratio,4.0,4.0,0.0156225364976091
NP_ratio,8.0,8.0,-0.00415236084358738
NP_ratio,12.0,12.0,-0.011799522619641515
PEG_(Chol+PEG),0.199600798,0.199600798,0.08116634514717923
PEG_(Chol+PEG),0.99009901,0.99009901,0.04536417516576921
PEG_(Chol+PEG),9.090909091,9.090909091,-0.1274528400129136
(IL+HL),20.0,20.0,-0.024600959616375404
(IL+HL),40.0,40.0,0.013223488922636377
(IL+HL),60.0,60.0,0.0264660396954483
(IL+HL),80.0,80.0,-0.0039883938381361506
HL_(IL+HL),0.497512438,0.497512438,-0.06617323287375099
HL_(IL+HL),0.99009901,0.99009901,-0.07180922454973342
HL_(IL+HL),1.960784314,1.960784314,-0.04609099047614271
HL_(IL+HL),9.090909091,9.090909091,0.02564241389017624
HL_(IL+HL),50.0,50.0,0.10769288010264513
